== endurance 30 min
=== endurance samples (every 100000 events) ===
t[s]  rss[MB]  live[MB]  reset_pages  misses
10.0  301.7  44.9  3  0
20.0  301.7  47.8  3  0
30.0  301.7  50.7  3  0
40.0  301.7  53.7  3  0
50.0  301.7  56.6  3  0
60.0  301.7  59.5  3  0
70.0  301.7  62.5  3  0
80.0  301.7  65.4  3  0
90.0  301.7  68.3  3  0
100.0  301.7  71.3  3  0
110.0  301.7  74.2  3  0
120.0  301.7  77.1  3  0
130.0  301.7  80.1  3  0
140.0  301.7  83.0  3  0
150.0  301.7  85.9  3  0
160.0  301.7  88.9  3  0
170.0  301.7  91.8  3  0
180.0  301.7  94.7  3  0
190.0  301.7  97.7  3  0
200.0  301.7  100.6  3  0
210.0  301.7  103.5  3  0
220.0  301.7  106.5  3  0
230.0  301.7  109.4  3  0
240.0  301.7  112.3  3  0
250.0  301.7  115.3  3  0
260.0  301.7  118.2  3  0
270.0  301.7  121.1  3  0
280.0  301.7  124.1  3  0
290.0  301.7  127.0  3  0
300.0  301.7  129.9  3  0
310.0  301.7  132.9  3  0
320.0  301.7  135.8  3  0
330.0  301.7  138.7  3  0
340.0  301.7  141.7  3  0
350.0  301.7  144.6  3  0
360.0  301.7  147.5  3  0
370.0  301.7  150.5  3  0
380.0  301.7  153.4  3  0
390.0  301.7  156.3  3  0
400.0  301.7  159.3  3  0
410.0  301.7  162.2  3  0
420.0  301.7  165.1  3  0
430.0  301.7  168.1  3  0
440.0  301.7  171.0  3  0
450.0  301.7  173.9  3  0
460.0  301.7  176.9  3  0
470.0  301.7  179.8  3  0
480.0  301.7  182.7  3  0
490.0  301.7  185.7  3  0
500.0  301.7  188.6  3  0
510.0  301.7  191.5  3  0
520.0  301.7  194.5  3  0
530.0  301.7  197.4  3  0
540.0  301.7  200.3  3  0
550.0  301.7  203.3  3  0
560.0  301.7  206.2  3  0
570.0  301.7  209.1  3  0
580.0  301.7  212.1  3  0
590.0  301.7  215.0  3  0
600.0  301.7  217.9  3  0
610.0  301.7  220.9  3  0
620.0  301.7  223.8  3  0
630.0  301.7  226.7  3  0
640.0  301.7  229.7  3  0
650.0  301.7  232.6  3  0
660.0  301.7  235.5  3  0
670.0  301.7  238.5  3  0
680.0  301.7  241.4  3  0
690.0  301.7  244.3  3  0
700.0  301.7  247.3  3  0
710.0  301.7  250.2  3  0
720.0  301.7  253.1  3  0
730.0  301.7  256.1  3  0
740.0  301.7  259.0  3  0
750.0  301.7  261.9  3  0
760.0  301.7  264.9  3  0
770.0  301.7  267.8  3  0
780.0  301.7  270.7  3  0
790.0  301.7  273.7  3  0
800.0  301.7  276.6  3  0
810.0  301.7  279.5  3  0
820.0  301.7  282.5  3  0
830.0  301.7  285.4  3  0
840.0  301.7  288.3  3  0
850.0  301.7  291.3  3  0
860.0  301.7  294.2  3  0
870.0  301.7  297.1  3  0
880.0  301.7  300.1  3  0
890.0  301.7  303.0  3  0
900.0  301.7  305.9  3  0
910.0  301.7  308.9  3  0
920.0  301.7  311.8  3  0
930.0  301.7  314.7  3  0
940.0  301.7  317.7  3  0
950.0  301.7  320.6  3  0
960.0  301.7  323.5  3  0
970.0  301.7  326.5  3  0
980.0  301.7  329.4  3  0
990.0  301.7  332.3  3  0
1000.0  301.7  335.3  3  0
1010.0  301.7  338.2  3  0
