# variant	K	W	B	every	events	collections	stw_us	mark_us	sweep_us	live_cells	freed_cells	pause_p50_ms	pause_max_ms	wall_s	events_per_s	p50_ns	p99_ns	p999_ns	p9999_ns	max_ns	max_clean_ns	over_100us	switches	page_faults	stock_collections	peak_rss_mb
scoped	300	3	1	100000	2000000	20	2.8449	2.3799	0.99985	302	100515	0.005149	0.0474	0.119569304	1.6726701026878938e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	628.55168
coop	300	3	1	100000	2000000	20	0.032049999999999995	1.95425	0.9462999999999999	302	100515	0.002214	0.01566	0.121473499	1.6464496507176435e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	637.07136
full	300	3	1	100000	2000000	20	NA	NA	NA	NA	NA	1.996969	6.793091	0.087016064	2.2984261848478917e7	NA	NA	NA	NA	NA	NA	NA	0	0	20	628.686848
scoped	1000	3	1	100000	2000000	20	3.1634	3.85735	1.18625	1002	100550	0.007214	0.045916	0.119752089	1.670117003136371e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	628.67456
coop	1000	3	1	100000	2000000	20	0.041049999999999996	3.91575	1.1922000000000001	1002	100550	0.004448	0.018885	0.121464561	1.6465708051256202e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	628.596736
full	1000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	2.317344	6.144868	0.092102153	2.1715018974637866e7	NA	NA	NA	NA	NA	NA	NA	0	0	20	628.723712
scoped	3000	3	1	100000	2000000	20	3.14	8.5336	2.0618499999999997	3002	100650	0.012854	0.051878	0.121758086	1.6426013792628113e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	628.645888
coop	3000	3	1	100000	2000000	20	0.033549999999999996	9.124649999999999	2.0824499999999997	3002	100650	0.010549	0.024586	0.1263434	1.58298731868859e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	628.506624
full	3000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	2.371086	6.324898	0.093782856	2.1325859387349006e7	NA	NA	NA	NA	NA	NA	NA	0	0	20	628.588544
scoped	10000	3	1	100000	2000000	20	3.0044	25.0865	4.6829	10002	101000	0.03221	0.071324	0.11974179	1.670260650020348e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	628.662272
coop	10000	3	1	100000	2000000	20	0.0475	34.3007	4.89775	10002	101000	0.034245	0.085322	0.122159112	1.6372090196595404e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	628.609024
full	10000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	2.645853	7.565759	0.099828616	2.0034335645803206e7	NA	NA	NA	NA	NA	NA	NA	0	0	20	628.645888
scoped	30000	3	1	100000	2000000	20	2.8228	75.6433	14.767850000000001	30002	102000	0.090401	0.13759	0.126283887	1.583733323001057e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	628.711424
coop	30000	3	1	100000	2000000	20	0.05775	83.3161	16.01885	30002	102000	0.097785	0.12724	0.123843492	1.6149415425075384e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	628.6336
full	30000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	3.427939	8.624939	0.11486767	1.7411339500487823e7	NA	NA	NA	NA	NA	NA	NA	0	0	20	628.703232
scoped	100000	3	1	100000	2000000	20	3.09725	272.0994	43.975550000000005	100002	105500	0.316758	0.384997	0.125907356	1.5884695410488963e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	628.494336
coop	100000	3	1	100000	2000000	20	0.05215	236.41705	46.2367	100002	105500	0.276432	0.396899	0.126846008	1.576714972378161e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	628.555776
full	100000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	5.822228	11.198846	0.163120373	1.226088417539359e7	NA	NA	NA	NA	NA	NA	NA	0	0	20	628.584448
