# variant	K	W	B	every	events	collections	stw_us	mark_us	sweep_us	live_cells	freed_cells	pause_p50_ms	pause_max_ms	wall_s	events_per_s	p50_ns	p99_ns	p999_ns	p9999_ns	max_ns	max_clean_ns	over_100us	switches	page_faults	stock_collections	peak_rss_mb
autopool	10000	3	1	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.095059264	5.2598766176014155e7	NA	NA	NA	NA	NA	NA	NA	1	0	10	628.67456
batch	10000	3	1	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.197034462	2.537627148696455e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	628.736
batch	10000	3	100	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.080136369	6.239364301619406e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	628.781056
batch	10000	3	1000	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.079217475	6.3117386662475675e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	628.71552
pooled	10000	3	1	100000	5000000	50	1.82106	25.23958	3.49992	10002	487	0.031018	0.066565	0.202971747	2.463397036238743e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	628.670464
autopool	10000	200	1	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.364083319	1.3733120247676054e7	NA	NA	NA	NA	NA	NA	NA	1	0	251	628.785152
batch	10000	200	1	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.240307195	2.080670118928399e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	628.789248
batch	10000	200	100	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.111596226	4.480438254247057e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	628.748288
batch	10000	200	1000	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.128492075	3.89129057181153e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	628.649984
pooled	10000	200	1	100000	5000000	50	1.81838	27.8251	3.5343400000000003	10002	487	0.033593	0.060704	0.236449694	2.1146147053165566e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	628.727808
