# variant	K	W	B	every	events	collections	stw_us	mark_us	sweep_us	live_cells	freed_cells	pause_p50_ms	pause_max_ms	wall_s	events_per_s	p50_ns	p99_ns	p999_ns	p9999_ns	max_ns	max_clean_ns	over_100us	switches	page_faults	stock_collections	peak_rss_mb
scoped	300	3	1	100000	2000000	20	3.02325	3.10135	1.0989	302	100515	0.006262	0.048712	0.118777778	1.683816647925507e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	1057.325056
coop	300	3	1	100000	2000000	20	0.0536	2.49395	1.1369	302	100515	0.002746	0.02093	0.118023505	1.694577702975352e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	1047.605248
full	300	3	1	100000	2000000	20	NA	NA	NA	NA	NA	2.310008	6.205206	0.095428751	2.0958044394817658e7	NA	NA	NA	NA	NA	NA	NA	0	0	20	1047.379968
scoped	1000	3	1	100000	2000000	20	3.501	4.86925	1.2238	1002	100550	0.008256	0.053762	0.114784164	1.7424006328956667e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	1057.234944
coop	1000	3	1	100000	2000000	20	0.05305	4.471850000000001	1.2109	1002	100550	0.005009	0.020468	0.118642522	1.6857362489310537e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	1047.711744
full	1000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	2.106424	6.26547	0.092220309	2.168719690583557e7	NA	NA	NA	NA	NA	NA	NA	0	0	20	1047.556096
scoped	3000	3	1	100000	2000000	20	3.21205	9.2395	1.9425999999999999	3002	100650	0.013305	0.054332	0.122790347	1.628792530409577e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	1057.583104
coop	3000	3	1	100000	2000000	20	0.0632	8.4956	1.97325	3002	100650	0.009659	0.025738	0.117230209	1.706044898375981e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	1047.38816
full	3000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	2.158913	6.731208	0.090015679	2.221835153851364e7	NA	NA	NA	NA	NA	NA	NA	0	0	20	1047.6544
scoped	10000	3	1	100000	2000000	20	3.1634499999999997	27.07055	4.6672	10002	101000	0.033924	0.073809	0.115753502	1.7278094964245662e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	1057.288192
coop	10000	3	1	100000	2000000	20	0.04965	28.88295	4.81115	10002	101000	0.033073	0.048361	0.119315552	1.6762274208813952e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	1047.871488
full	10000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	2.383396	5.935838	0.093316757	2.1432377895429865e7	NA	NA	NA	NA	NA	NA	NA	0	0	20	1047.519232
scoped	30000	3	1	100000	2000000	20	3.1675500000000003	71.35205	11.994950000000001	30002	102000	0.086083	0.124775	0.116539685	1.7161536003808487e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	1057.357824
coop	30000	3	1	100000	2000000	20	0.07784999999999999	82.178	12.9134	30002	102000	0.094479	0.109577	0.1195107	1.6734903234605772e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	1047.642112
full	30000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	2.929997	7.51663	0.105728921	1.891630011054402e7	NA	NA	NA	NA	NA	NA	NA	0	0	20	1047.478272
scoped	100000	3	1	100000	2000000	20	2.76615	251.42745000000002	42.71755	100002	105500	0.297231	0.329722	0.120451075	1.6604251975335212e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1059.04128
coop	100000	3	1	100000	2000000	20	0.0697	269.71135	40.0796	100002	105500	0.310226	0.313481	0.129897604	1.539674280674184e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	1049.23136
full	100000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	5.28018	9.648181	0.151510175	1.320043356824055e7	NA	NA	NA	NA	NA	NA	NA	0	0	20	1048.870912
