# variant	K	W	B	every	events	collections	stw_us	mark_us	sweep_us	live_cells	freed_cells	pause_p50_ms	pause_max_ms	wall_s	events_per_s	p50_ns	p99_ns	p999_ns	p9999_ns	max_ns	max_clean_ns	over_100us	switches	page_faults	stock_collections	peak_rss_mb
autopool	10000	3	1	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.095823345	5.217935149310432e7	NA	NA	NA	NA	NA	NA	NA	1	0	9	1048.94464
batch	10000	3	1	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.215706585	2.3179635429303188e7	NA	NA	NA	NA	NA	NA	NA	2	0	NA	1048.911872
batch	10000	3	100	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.092378076	5.412539659301846e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1048.936448
batch	10000	3	1000	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.091784356	5.447551432403143e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1049.001984
pooled	10000	3	1	100000	5000000	50	1.889	26.22538	3.60162	10002	487	0.03169	0.071445	0.187566613	2.6657196182350427e7	NA	NA	NA	NA	NA	NA	NA	2	0	NA	1048.51456
autopool	10000	200	1	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.460580239	1.0855871738778615e7	NA	NA	NA	NA	NA	NA	NA	4	0	242	1049.075712
batch	10000	200	1	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.24875692	2.009994335031966e7	NA	NA	NA	NA	NA	NA	NA	2	0	NA	1048.928256
batch	10000	200	100	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.127042394	3.9356940959409185e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1048.8832
batch	10000	200	1000	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.135611339	3.687007323185564e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1048.915968
pooled	10000	200	1	100000	5000000	50	1.98892	26.2105	3.5987600000000004	10002	487	0.032191	0.067227	0.21938324	2.2791166727230392e7	NA	NA	NA	NA	NA	NA	NA	2	0	NA	1048.989696
