# t_s	rss_mb	live_mb	reset_pages	misses
9.999900123	333.45536	44.938872	3	0
19.99990011	333.45536	47.872264	3	0
29.99990016	333.45536	50.805656	3	0
39.999900125	333.45536	53.738872	3	0
49.99990012	333.45536	56.672264	3	0
59.999900172	333.45536	59.605656	3	0
69.999900126	333.45536	62.538872	3	0
79.999900128	333.45536	65.472264	3	0
89.999900153	333.45536	68.405656	3	0
99.999900117	333.45536	71.338872	3	0
109.999900124	333.45536	74.272264	3	0
119.999900172	333.45536	77.205656	3	0
129.999900128	333.45536	80.138872	3	0
139.99990011	333.45536	83.072264	3	0
149.999900161	333.45536	86.005656	3	0
159.99990012	333.45536	88.938872	3	0
169.999900132	333.45536	91.872264	3	0
179.999900165	333.45536	94.805656	3	0
189.999900111	333.45536	97.738872	3	0
199.999900124	333.45536	100.672264	3	0
209.999900162	333.45536	103.605656	3	0
219.999900128	333.45536	106.538872	3	0
229.999900119	333.45536	109.472264	3	0
239.99990015	333.45536	112.405656	3	0
249.999900129	333.45536	115.338872	3	0
259.99990012	333.45536	118.272264	3	0
269.999900171	333.45536	121.205656	3	0
279.999900115	333.45536	124.138872	3	0
289.999900124	333.45536	127.072264	3	0
299.999900163	333.45536	130.005656	3	0
309.999900129	333.45536	132.938872	3	0
319.999900124	333.45536	135.872264	3	0
329.999900155	333.45536	138.805656	3	0
339.999900115	333.45536	141.738872	3	0
349.999900137	333.45536	144.672264	3	0
359.999900159	333.45536	147.605656	3	0
369.999900131	333.45536	150.538872	3	0
379.999900129	333.45536	153.472264	3	0
389.99990015	333.45536	156.405656	3	0
399.999900128	333.45536	159.338872	3	0
409.999900111	333.45536	162.272264	3	0
419.999900155	333.45536	165.205656	3	0
429.999900117	333.45536	168.138872	3	0
439.999900129	333.45536	171.072264	3	0
449.999900174	333.45536	174.005656	3	0
459.999900126	333.45536	176.938872	3	0
469.999900129	333.45536	179.872264	3	0
479.999900165	333.45536	182.805656	3	0
489.999900126	333.45536	185.738872	3	0
499.99990012	333.45536	188.672264	3	0
509.999900162	333.45536	191.605656	3	0
519.999900125	333.45536	194.538872	3	0
529.999900129	333.45536	197.472264	3	0
539.999900171	333.45536	200.405656	3	0
549.999900124	333.45536	203.338872	3	0
559.999900118	333.45536	206.272264	3	0
569.999900162	333.45536	209.205656	3	0
579.999900126	333.45536	212.138872	3	0
589.999900121	333.45536	215.072264	3	0
599.999900163	333.45536	218.005656	3	0
609.999900125	333.45536	220.938872	3	0
619.999900138	333.45536	223.872264	3	0
