# set	bench	threads	binary	round	wall_ns
serial	append/append.jl	1	vanilla	1	870837656
serial	append/append.jl	1	regions	1	782714427
serial	linked/tree.jl	1	vanilla	1	8910674066
serial	linked/tree.jl	1	regions	1	8792604710
serial	strings/strings.jl	1	vanilla	1	18636407802
serial	strings/strings.jl	1	regions	1	18903234726
serial	bigint/pollard.jl	1	vanilla	1	670348279
serial	bigint/pollard.jl	1	regions	1	709319481
serial	big_arrays/single_ref.jl	1	vanilla	1	277017713
serial	big_arrays/single_ref.jl	1	regions	1	274199327
serial	big_arrays/many_refs.jl	1	vanilla	1	1743159190
serial	big_arrays/many_refs.jl	1	regions	1	1797333781
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	1	1768796220
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	1	1776164640
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	1	611931457
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	1	619909556
multithreaded	big_arrays/issue-52937.jl	4	vanilla	1	9664808081
multithreaded	big_arrays/issue-52937.jl	4	regions	1	9770212269
serial	append/append.jl	1	vanilla	2	786181497
serial	append/append.jl	1	regions	2	784830590
serial	linked/tree.jl	1	vanilla	2	9829517546
serial	linked/tree.jl	1	regions	2	10022457992
serial	strings/strings.jl	1	vanilla	2	19515824320
serial	strings/strings.jl	1	regions	2	19526949406
serial	bigint/pollard.jl	1	vanilla	2	664305110
serial	bigint/pollard.jl	1	regions	2	698036327
serial	big_arrays/single_ref.jl	1	vanilla	2	278090107
serial	big_arrays/single_ref.jl	1	regions	2	277927910
serial	big_arrays/many_refs.jl	1	vanilla	2	1750315089
serial	big_arrays/many_refs.jl	1	regions	2	1803349950
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	2	1716727662
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	2	1730075792
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	2	604165748
