# binary	round	threads	gcthreads	collection	wall_ms	mark_ms	sweep_ms	safepoint_us	live_mb
vanilla	1	1	1	1	52.288	48.075	4.19	3.196	55.1
vanilla	1	1	1	2	41.548	37.306	4.209	8.717	55.1
vanilla	1	1	1	3	39.507	35.514	3.966	4.187	55.1
vanilla	1	1	1	4	39.478	35.238	4.214	3.967	55.1
vanilla	1	1	1	5	40.114	36.194	3.88	4.448	55.1
vanilla	1	1	1	6	40.434	36.21	4.192	5.841	55.1
vanilla	1	1	1	7	39.261	35.537	3.704	3.477	55.1
vanilla	1	1	1	8	39.176	35.223	3.93	3.957	55.1
vanilla	1	1	1	9	39.683	35.56	4.098	4.428	55.1
vanilla	1	1	1	10	39.201	35.299	3.878	5.381	55.1
vanilla	1	1	1	11	39.847	35.984	3.823	3.196	55.1
vanilla	1	1	1	12	39.733	35.638	4.069	5.54	55.1
regions	1	1	1	1	53.541	48.997	4.52	2.435	55.1
regions	1	1	1	2	41.503	37.182	4.284	8.366	55.1
regions	1	1	1	3	40.522	36.382	4.111	3.857	55.1
regions	1	1	1	4	40.197	36.203	3.962	4.398	55.1
regions	1	1	1	5	39.949	36.164	3.757	4.208	55.1
regions	1	1	1	6	40.102	36.266	3.812	3.236	55.1
regions	1	1	1	7	39.963	36.159	3.777	4.118	55.1
regions	1	1	1	8	39.766	35.874	3.866	5.019	55.1
regions	1	1	1	9	39.562	35.799	3.737	4.749	55.1
regions	1	1	1	10	39.774	35.941	3.808	4.418	55.1
regions	1	1	1	11	39.79	35.961	3.806	4.388	55.1
regions	1	1	1	12	39.49	35.657	3.806	5.199	55.1
vanilla	1	4	2	1	55.114	47.613	7.465	9.558	151.1
vanilla	1	4	2	2	56.774	49.184	7.548	6.883	151.1
vanilla	1	4	2	3	55.624	48.145	7.447	6.492	151.1
vanilla	1	4	2	4	55.622	48.101	7.49	5.4	151.1
vanilla	1	4	2	5	55.992	48.386	7.582	6.833	151.1
vanilla	1	4	2	6	56.427	48.784	7.614	3.557	151.1
vanilla	1	4	2	7	56.077	48.543	7.504	5.932	151.1
vanilla	1	4	2	8	55.993	48.394	7.57	5.23	151.1
vanilla	1	4	2	9	56.081	48.505	7.546	5.881	151.1
vanilla	1	4	2	10	56.036	48.511	7.495	5.901	151.1
vanilla	1	4	2	11	56.259	48.677	7.55	5.59	151.1
vanilla	1	4	2	12	56.104	48.541	7.533	6.793	151.1
regions	1	4	2	1	57.288	49.725	7.511	25.008	151.1
regions	1	4	2	2	58.823	50.73	8.049	7.133	151.1
regions	1	4	2	3	57.315	49.526	7.759	6.162	151.1
regions	1	4	2	4	57.186	49.506	7.653	3.788	151.1
regions	1	4	2	5	57.65	50.019	7.607	4.999	151.1
regions	1	4	2	6	58.172	50.351	7.796	3.246	151.1
regions	1	4	2	7	57.723	49.947	7.749	5.26	151.1
regions	1	4	2	8	57.906	50.164	7.713	6.553	151.1
regions	1	4	2	9	57.685	50.032	7.627	5.21	151.1
regions	1	4	2	10	57.978	50.103	7.85	4.258	151.1
regions	1	4	2	11	57.469	49.75	7.698	3.486	151.1
regions	1	4	2	12	57.971	50.089	7.855	4.028	151.1
vanilla	1	8	4	1	73.024	63.176	9.814	6.883	279.1
vanilla	1	8	4	2	61.064	51.25	9.774	7.855	279.2
vanilla	1	8	4	3	66.182	56.467	9.685	6.392	279.2
vanilla	1	8	4	4	56.435	46.804	9.605	5.069	279.2
vanilla	1	8	4	5	55.835	46.119	9.684	5.04	279.2
vanilla	1	8	4	6	64.823	55.141	9.646	6.693	279.2
vanilla	1	8	4	7	56.121	46.331	9.755	7.464	279.2
vanilla	1	8	4	8	57.783	48.039	9.71	7.804	279.2
vanilla	1	8	4	9	63.769	53.939	9.798	7.083	279.2
vanilla	1	8	4	10	56.679	46.867	9.777	7.424	279.2
vanilla	1	8	4	11	66.725	56.985	9.707	7.264	279.2
vanilla	1	8	4	12	68.41	58.664	9.712	6.762	279.2
regions	1	8	4	1	71.769	61.251	10.475	11.652	279.1
regions	1	8	4	2	63.82	53.335	10.432	15.93	279.2
regions	1	8	4	3	57.744	46.967	10.74	7.254	279.2
regions	1	8	4	4	57.866	47.228	10.601	6.692	279.2
regions	1	8	4	5	77.312	66.858	10.414	7.955	279.2
regions	1	8	4	6	69.381	58.714	10.632	7.664	279.2
regions	1	8	4	7	58.85	48.132	10.68	7.674	279.2
regions	1	8	4	8	59.835	48.959	10.837	6.682	279.2
regions	1	8	4	9	58.399	47.704	10.658	7.985	279.2
regions	1	8	4	10	58.945	47.974	10.934	7.675	279.2
regions	1	8	4	11	57.35	46.641	10.675	6.843	279.2
regions	1	8	4	12	58.798	47.874	10.88	7.324	279.2
vanilla	1	16	8	1	80.032	64.869	15.119	8.356	535.2
vanilla	1	16	8	2	80.268	64.246	15.971	9.959	535.2
vanilla	1	16	8	3	62.834	46.33	16.464	6.542	535.2
vanilla	1	16	8	4	65.415	49.272	16.098	7.865	535.2
vanilla	1	16	8	5	69.854	53.049	16.76	6.062	535.2
vanilla	1	16	8	6	66.628	50.437	16.149	7.745	535.2
vanilla	1	16	8	7	73.353	57.821	15.488	9.558	535.2
vanilla	1	16	8	8	64.755	49.013	15.695	7.113	535.2
vanilla	1	16	8	9	69.465	53.543	15.88	7.515	535.2
vanilla	1	16	8	10	63.036	46.871	16.122	7.755	535.2
vanilla	1	16	8	11	65.228	48.782	16.084	327.297	535.2
vanilla	1	16	8	12	63.284	46.963	16.279	6.873	535.2
regions	1	16	8	1	81.304	65.818	15.433	11.201	535.2
regions	1	16	8	2	71.446	54.205	17.189	8.667	535.2
regions	1	16	8	3	72.321	56.447	15.828	7.494	535.2
regions	1	16	8	4	63.787	46.742	16.989	6.422	535.2
regions	1	16	8	5	65.586	48.564	16.973	8.136	535.2
regions	1	16	8	6	67.436	49.599	17.784	6.893	535.2
regions	1	16	8	7	69.555	52.097	17.402	7.885	535.2
regions	1	16	8	8	66.3	49.912	16.332	8.145	535.2
regions	1	16	8	9	74.438	57.548	16.843	8.826	535.2
regions	1	16	8	10	66.076	48.507	17.524	7.985	535.2
regions	1	16	8	11	66.384	48.932	17.111	305.356	535.2
regions	1	16	8	12	75.756	58.913	16.803	6.001	535.2
vanilla	1	30	15	1	95.664	72.116	23.364	51.086	983.3
