# round	mode	threads	workers	kind	index	value_us	collections
1	checked	1	0	reset	1	29.045	0
1	checked	1	0	reset	2	28.224	0
1	checked	1	0	reset	3	27.812	0
1	checked	1	0	reset	4	27.401	0
1	checked	1	0	reset	5	28.003	0
1	checked	1	0	reset	6	29.365	0
1	checked	1	0	reset	7	27.382	0
1	checked	1	0	reset	8	27.222	0
1	checked	1	0	reset	9	27.572	0
1	checked	1	0	reset	10	27.382	0
1	checked	1	0	reset	11	27.281	0
1	checked	1	0	reset	12	28.644	0
1	checked	1	0	reset	13	27.893	0
1	checked	1	0	reset	14	28.173	0
1	checked	1	0	reset	15	28.514	0
1	checked	1	0	reset	16	27.993	0
1	checked	1	0	reset	17	30.378	0
1	checked	1	0	reset	18	28.043	0
1	checked	1	0	reset	19	27.973	0
1	checked	1	0	reset	20	27.462	0
1	checked	1	0	reset	21	27.743	0
1	checked	1	0	reset	22	28.073	0
1	checked	1	0	reset	23	28.294	0
1	checked	1	0	reset	24	27.903	0
1	checked	1	0	reset	25	27.853	0
1	checked	1	0	reset	26	32.922	0
1	checked	1	0	reset	27	27.752	0
1	checked	1	0	reset	28	27.522	0
1	checked	1	0	reset	29	27.962	0
1	checked	1	0	reset	30	27.542	0
1	checked	1	0	reset	31	27.662	0
1	checked	1	0	reset	32	27.612	0
1	checked	1	0	reset	33	27.642	0
1	checked	1	0	reset	34	27.461	0
1	checked	1	0	reset	35	30.267	0
1	checked	1	0	reset	36	27.672	0
1	checked	1	0	reset	37	27.873	0
1	checked	1	0	reset	38	27.732	0
1	checked	1	0	reset	39	28.143	0
1	checked	1	0	reset	40	27.572	0
1	checked	1	0	reset	41	27.733	0
1	checked	1	0	reset	42	27.582	0
1	checked	1	0	reset	43	27.863	0
1	checked	1	0	reset	44	28.474	0
1	checked	1	0	reset	45	27.732	0
1	checked	1	0	reset	46	27.863	0
1	checked	1	0	reset	47	27.943	0
1	checked	1	0	reset	48	28.093	0
1	checked	1	0	reset	49	27.682	0
1	checked	1	0	reset	50	27.692	0
1	checked	1	0	reset	51	28.594	0
1	checked	1	0	reset	52	28.784	0
1	checked	1	0	reset	53	28.845	0
1	checked	1	0	reset	54	28.404	0
1	checked	1	0	reset	55	27.572	0
1	checked	1	0	reset	56	27.291	0
1	checked	1	0	reset	57	27.522	0
1	checked	1	0	reset	58	27.292	0
1	checked	1	0	reset	59	27.411	0
1	checked	1	0	reset	60	27.331	0
1	checked	1	0	reset	61	27.512	0
1	checked	1	0	reset	62	27.411	0
1	checked	1	0	reset	63	27.422	0
1	checked	1	0	reset	64	27.351	0
1	checked	1	0	reset	65	27.692	0
1	checked	1	0	reset	66	27.371	0
1	checked	1	0	reset	67	27.663	0
