# demo	point	threads	mode	wall_ms	collections	gc_ms	peak_rss_mb
B	small   (160x100, 8 spp, depth 8, 1 threads)	1	region	13.425945	0	0.0	282.37109375
B	small   (160x100, 8 spp, depth 8, 1 threads)	1	stock	13.194038	0	0.0	282.37109375
B	medium  (160x100, 24 spp, depth 8, 1 threads)	1	region	38.582478	0	0.0	285.4765625
B	medium  (160x100, 24 spp, depth 8, 1 threads)	1	stock	38.883546	2	0.295888	285.4765625
B	large   (160x100, 64 spp, depth 8, 1 threads)	1	region	101.831395	0	0.0	285.4765625
B	large   (160x100, 64 spp, depth 8, 1 threads)	1	stock	102.987646	7	0.86908	285.4765625
D	work=0     (grid 16, work=0, 1 threads)	1	region	95.031709	0	0.0	310.94140625
D	work=0     (grid 16, work=0, 1 threads)	1	stock	97.077137	0	0.0	310.94140625
D	work=512   (grid 16, work=512, 1 threads)	1	region	97.797085	0	0.0	318.17578125
D	work=512   (grid 16, work=512, 1 threads)	1	stock	105.24277	2	2.312482	328.85546875
D	work=2048  (grid 16, work=2048, 1 threads)	1	region	101.103693	0	0.0	318.17578125
D	work=2048  (grid 16, work=2048, 1 threads)	1	stock	96.220691	14	5.482212	331.5703125
B	small   (160x100, 8 spp, depth 8, 2 threads)	2	region	10.848904	0	0.0	287.484375
B	small   (160x100, 8 spp, depth 8, 2 threads)	2	stock	10.860065	1	0.117732	287.484375
B	medium  (160x100, 24 spp, depth 8, 2 threads)	2	region	30.59948	0	0.0	289.1171875
B	medium  (160x100, 24 spp, depth 8, 2 threads)	2	stock	30.582137	3	0.318691	289.1171875
B	large   (160x100, 64 spp, depth 8, 2 threads)	2	region	79.1017	0	0.0	289.1171875
B	large   (160x100, 64 spp, depth 8, 2 threads)	2	stock	81.030949	8	0.786224	289.1171875
D	work=0     (grid 16, work=0, 2 threads)	2	region	60.148097	0	0.0	287.25390625
D	work=0     (grid 16, work=0, 2 threads)	2	stock	61.508644	0	0.0	288.26171875
D	work=512   (grid 16, work=512, 2 threads)	2	region	61.72371	0	0.0	291.4453125
D	work=512   (grid 16, work=512, 2 threads)	2	stock	60.030416	3	2.728297	298.81640625
D	work=2048  (grid 16, work=2048, 2 threads)	2	region	61.404237	0	0.0	291.9453125
D	work=2048  (grid 16, work=2048, 2 threads)	2	stock	71.370397	17	8.035284	305.03515625
B	small   (160x100, 8 spp, depth 8, 4 threads)	4	region	6.190777	0	0.0	286.88671875
B	small   (160x100, 8 spp, depth 8, 4 threads)	4	stock	5.713197	1	0.138691	288.98046875
B	medium  (160x100, 24 spp, depth 8, 4 threads)	4	region	16.578683	0	0.0	290.15234375
B	medium  (160x100, 24 spp, depth 8, 4 threads)	4	stock	16.748713	3	0.357484	290.15625
B	large   (160x100, 64 spp, depth 8, 4 threads)	4	region	43.14266	0	0.0	290.16015625
B	large   (160x100, 64 spp, depth 8, 4 threads)	4	stock	44.290064	8	0.873668	290.16015625
D	work=0     (grid 16, work=0, 4 threads)	4	region	40.257008	0	0.0	290.03515625
D	work=0     (grid 16, work=0, 4 threads)	4	stock	40.771227	0	0.0	290.03515625
D	work=512   (grid 16, work=512, 4 threads)	4	region	40.946949	0	0.0	297.4453125
D	work=512   (grid 16, work=512, 4 threads)	4	stock	41.946464	4	3.191089	299.59375
D	work=2048  (grid 16, work=2048, 4 threads)	4	region	41.976721	0	0.0	299.4765625
D	work=2048  (grid 16, work=2048, 4 threads)	4	stock	49.156665	23	8.009163	304.70703125
B	small   (160x100, 8 spp, depth 8, 8 threads)	8	region	4.006217	0	0.0	313.25390625
B	small   (160x100, 8 spp, depth 8, 8 threads)	8	stock	3.627552	1	0.160152	313.2578125
B	medium  (160x100, 24 spp, depth 8, 8 threads)	8	region	10.307703	0	0.0	315.83984375
B	medium  (160x100, 24 spp, depth 8, 8 threads)	8	stock	10.353089	3	0.435331	315.84375
B	large   (160x100, 64 spp, depth 8, 8 threads)	8	region	26.066329	0	0.0	315.86328125
B	large   (160x100, 64 spp, depth 8, 8 threads)	8	stock	27.104408	8	1.092991	315.8671875
D	work=0     (grid 16, work=0, 8 threads)	8	region	25.455026	0	0.0	291.6015625
D	work=0     (grid 16, work=0, 8 threads)	8	stock	27.856937	0	0.0	291.6015625
D	work=512   (grid 16, work=512, 8 threads)	8	region	26.060638	0	0.0	292.28515625
D	work=512   (grid 16, work=512, 8 threads)	8	stock	27.225075	4	2.126861	305.76953125
D	work=2048  (grid 16, work=2048, 8 threads)	8	region	27.154071	0	0.0	305.76953125
D	work=2048  (grid 16, work=2048, 8 threads)	8	stock	40.242239	24	8.177117	310.66015625
