# showcase	mode	param	wall_s	collections	gc_ms	peak_rss_mb
binarytree	stock	18	0.38210633	31	82.35256	290.852864
linkedlist	stock	64	2.239736438	10	1711.411127	2403.524608
binarytree	region	18	0.340878461	0	0.0	291.328
linkedlist	region	64	0.630257037	0	0.0	2412.35968
tree	tree	3	0.0063721690000000004	0	0.0	NA
tree	stock	3	0.00867333	6	0.818145	NA
binarytree	stock	18	0.396501754	31	87.121716	266.289152
linkedlist	stock	64	2.268329232	10	1728.904691	2382.716928
binarytree	region	18	0.355439708	0	0.0	266.604544
linkedlist	region	64	0.64104669	0	0.0	2390.740992
tree	tree	3	0.0070868979999999995	0	0.0	NA
tree	stock	3	0.008778108	6	0.892483	NA
binarytree	stock	18	0.37703881	31	81.511636	266.338304
linkedlist	stock	64	2.322342949	10	1727.150873	2382.307328
binarytree	region	18	0.340502833	0	0.0	266.293248
linkedlist	region	64	0.638523611	0	0.0	2390.269952
tree	tree	3	0.006531751	0	0.0	NA
tree	stock	3	0.008352796	6	0.863979	NA
