# binary	round	cost	value	unit	samples
vanilla	1	store_disarmed	0.3414	ns/store	0.4223,0.4202,0.3456,0.3448,0.4187,0.417,0.3414,0.342
vanilla	1	construct_two	7.243	ns/object	7.255,7.243,7.504,7.31,7.293,7.349,7.3,7.266
vanilla	1	construct_shared	3.425	ns/object	3.474,3.487,3.535,3.497,3.471,3.427,3.444,3.425
vanilla	1	box_twin	3.711	ns/object	3.749,3.773,3.711,3.751,3.736,3.748,3.781,3.783
vanilla	1	alloc_stock	2.024	ns/object	2.104,2.272,2.2,2.024,2.095,2.248,2.199,2.035
vanilla	1	finalizer_register	2.176	ns/object	
vanilla	1	stock_mark	64.54	ms/collection	
regions_stock	1	store_disarmed	0.3761	ns/store	0.4705,0.3882,0.3901,0.3764,0.6058,0.3894,0.3834,0.3761
regions_stock	1	construct_two	7.67	ns/object	7.671,7.673,7.67,7.748,7.719,7.785,7.752,7.743
regions_stock	1	construct_shared	3.737	ns/object	3.764,3.752,3.738,3.772,3.75,3.791,3.737,3.758
regions_stock	1	box_twin	4.129	ns/object	4.153,4.136,4.129,4.158,4.158,4.154,4.187,4.19
regions_stock	1	alloc_stock	2.194	ns/object	2.194,2.22,2.199,2.198,2.197,2.216,2.194,2.201
regions_stock	1	finalizer_register	2.294	ns/object	
regions_stock	1	stock_mark	65.95	ms/collection	
regions	1	store_disarmed	0.3805	ns/store	0.4763,0.3945,0.388,0.3805,0.6088,0.3986,0.3941,0.3885
regions	1	store_armed	1.429	ns/store	1.429,1.439,1.435,1.635,1.433,1.443,1.432,1.635
regions	1	store_armed_const	0.156	ns/store	0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156
regions	1	store_region	2.025	ns/store	2.025,2.083,2.13,2.287,2.026,2.083,2.102,2.289
regions	1	window_pair	11.46	ns/pair	
regions	1	switch_pair	6.312	ns/pair	
regions	1	construct_two	9.621	ns/object	9.733,9.626,9.717,9.621,9.692,9.68,9.75,10.01
regions	1	construct_shared	6.049	ns/object	6.049,6.079,6.108,6.255,6.075,6.064,6.086,6.279
regions	1	box_twin	5.95	ns/object	6.058,5.986,5.95,5.973,6.083,5.951,5.968,5.975
regions	1	alloc_stock	3.254	ns/object	3.456,3.467,3.295,3.261,3.26,3.666,3.283,3.254
regions	1	finalizer_register	3.511	ns/object	
regions	1	alloc_region	3.635	ns/object	3.637,4.049,3.92,3.707,3.635,4.043,3.949,3.708
regions	1	reset_slice	30.0	ns/reset	
regions	1	reset_slice_checked	3045.0	ns/reset	
regions	1	stock_mark	67.12	ms/collection	
regions	2	store_disarmed	0.3749	ns/store	0.3922,0.38,0.3854,0.3749,0.3755,0.3763,0.3792,0.3749
regions	2	store_armed	1.427	ns/store	1.427,1.431,1.438,1.634,1.432,1.439,1.494,1.633
regions	2	store_armed_const	0.156	ns/store	0.1561,0.156,0.156,0.1561,0.156,0.156,0.156,0.156
regions	2	store_region	2.024	ns/store	2.024,2.097,2.134,2.281,2.025,2.114,2.18,2.283
regions	2	window_pair	11.46	ns/pair	
regions	2	switch_pair	5.905	ns/pair	
regions	2	construct_two	9.707	ns/object	10.0,9.707,9.805,9.728,9.747,9.721,9.975,9.777
regions	2	construct_shared	6.07	ns/object	6.135,6.088,6.296,6.302,6.07,6.081,6.341,6.298
regions	2	box_twin	5.944	ns/object	6.151,5.948,5.959,5.975,6.147,5.988,5.961,5.944
regions	2	alloc_stock	3.248	ns/object	3.257,3.669,3.293,3.455,3.452,3.663,3.468,3.248
regions	2	finalizer_register	3.477	ns/object	
regions	2	alloc_region	3.644	ns/object	3.644,4.05,3.921,3.702,3.644,4.024,3.912,3.704
regions	2	reset_slice	30.0	ns/reset	
regions	2	reset_slice_checked	3046.0	ns/reset	
regions	2	stock_mark	67.48	ms/collection	
