# t_s	rss_mb	live_mb	reset_pages	misses
9.999900107	303.644672	44.912608	3	0
19.999900104	303.644672	47.846	3	0
29.999900122	303.644672	50.779392	3	0
39.999900109	303.644672	53.712608	3	0
49.999900109	303.644672	56.646	3	0
59.999900187	303.644672	59.579392	3	0
69.999900104	303.644672	62.512608	3	0
79.999900116	303.644672	65.446	3	0
89.999900191	303.644672	68.379392	3	0
99.999900099	303.644672	71.312608	3	0
109.999900117	303.644672	74.246	3	0
119.999900185	303.644672	77.179392	3	0
129.999900113	303.644672	80.112608	3	0
139.999900101	303.644672	83.046	3	0
149.999900199	303.644672	85.979392	3	0
159.999900107	303.644672	88.912608	3	0
169.999900115	303.644672	91.846	3	0
179.999900193	303.644672	94.779392	3	0
189.999900102	303.644672	97.712608	3	0
199.999900092	303.644672	100.646	3	0
209.999900172	303.644672	103.579392	3	0
219.999900108	303.644672	106.512608	3	0
229.999900111	303.644672	109.446	3	0
239.999900194	303.644672	112.379392	3	0
249.999900109	303.644672	115.312608	3	0
259.99990009	303.644672	118.246	3	0
269.999900193	303.644672	121.179392	3	0
279.999900094	303.644672	124.112608	3	0
289.999900106	303.644672	127.046	3	0
299.999900196	303.644672	129.979392	3	0
309.99990012	303.644672	132.912608	3	0
319.999900108	303.644672	135.846	3	0
329.999900191	303.644672	138.779392	3	0
339.999900102	303.644672	141.712608	3	0
349.999900094	303.644672	144.646	3	0
359.999900196	303.644672	147.579392	3	0
369.99990011	303.644672	150.512608	3	0
379.999900112	303.644672	153.446	3	0
389.999900193	303.644672	156.379392	3	0
399.999900104	303.644672	159.312608	3	0
409.999900105	303.644672	162.246	3	0
419.999900199	303.644672	165.179392	3	0
429.999900113	303.644672	168.112608	3	0
439.999900106	303.644672	171.046	3	0
449.999900197	303.644672	173.979392	3	0
459.999900109	303.644672	176.912608	3	0
469.999900101	303.644672	179.846	3	0
479.999900196	303.644672	182.779392	3	0
489.999900111	303.644672	185.712608	3	0
499.999900103	303.644672	188.646	3	0
509.999900185	303.644672	191.579392	3	0
519.999900117	303.644672	194.512608	3	0
529.999900108	303.644672	197.446	3	0
539.999900192	303.644672	200.379392	3	0
549.999900103	303.644672	203.312608	3	0
559.999900106	303.644672	206.246	3	0
569.999900198	303.644672	209.179392	3	0
579.999900119	303.644672	212.112608	3	0
589.999900101	303.644672	215.046	3	0
599.999900196	303.644672	217.979392	3	0
609.999900118	303.644672	220.912608	3	0
619.9999001	303.644672	223.846	3	0
629.999900201	303.644672	226.779392	3	0
639.999900103	303.644672	229.712608	3	0
649.999900114	303.644672	232.646	3	0
659.999900189	303.644672	235.579392	3	0
669.999900104	303.644672	238.512608	3	0
679.999900107	303.644672	241.446	3	0
689.999900188	303.644672	244.379392	3	0
699.999900109	303.644672	247.312608	3	0
709.999900104	303.644672	250.246	3	0
