# set	bench	threads	binary	round	wall_ns
serial	append/append.jl	1	vanilla	1	1519624570
serial	append/append.jl	1	regions	1	1556977692
serial	linked/tree.jl	1	vanilla	1	8856786873
serial	linked/tree.jl	1	regions	1	8937300296
serial	strings/strings.jl	1	vanilla	1	18760752896
serial	strings/strings.jl	1	regions	1	18986900900
serial	bigint/pollard.jl	1	vanilla	1	650763315
serial	bigint/pollard.jl	1	regions	1	659310046
serial	big_arrays/single_ref.jl	1	vanilla	1	404139040
serial	big_arrays/single_ref.jl	1	regions	1	416590502
serial	big_arrays/many_refs.jl	1	vanilla	1	1975964878
serial	big_arrays/many_refs.jl	1	regions	1	1805214407
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	1	1602499096
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	1	1602537854
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	1	754894569
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	1	769170715
multithreaded	big_arrays/issue-52937.jl	4	vanilla	1	9668099187
multithreaded	big_arrays/issue-52937.jl	4	regions	1	9798203721
serial	append/append.jl	1	vanilla	2	1541870082
serial	append/append.jl	1	regions	2	1554128269
serial	linked/tree.jl	1	vanilla	2	8972735783
serial	linked/tree.jl	1	regions	2	9266313861
serial	strings/strings.jl	1	vanilla	2	19077133858
serial	strings/strings.jl	1	regions	2	18778572720
serial	bigint/pollard.jl	1	vanilla	2	663512382
serial	bigint/pollard.jl	1	regions	2	668680917
serial	big_arrays/single_ref.jl	1	vanilla	2	419086309
serial	big_arrays/single_ref.jl	1	regions	2	384616285
serial	big_arrays/many_refs.jl	1	vanilla	2	1970851248
serial	big_arrays/many_refs.jl	1	regions	2	1804160263
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	2	1600749428
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	2	1646248740
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	2	770588051
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	2	770818015
multithreaded	big_arrays/issue-52937.jl	4	vanilla	2	9697672705
multithreaded	big_arrays/issue-52937.jl	4	regions	2	9894319343
serial	append/append.jl	1	vanilla	3	1546051715
serial	append/append.jl	1	regions	3	1555011347
serial	linked/tree.jl	1	vanilla	3	9047894076
serial	linked/tree.jl	1	regions	3	9162696930
serial	strings/strings.jl	1	vanilla	3	18625301526
serial	strings/strings.jl	1	regions	3	18685483050
serial	bigint/pollard.jl	1	vanilla	3	652079132
serial	bigint/pollard.jl	1	regions	3	673062218
serial	big_arrays/single_ref.jl	1	vanilla	3	401126460
serial	big_arrays/single_ref.jl	1	regions	3	393566209
serial	big_arrays/many_refs.jl	1	vanilla	3	1969853445
serial	big_arrays/many_refs.jl	1	regions	3	1810529646
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	3	1611862936
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	3	1618001583
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	3	789305310
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	3	780004174
multithreaded	big_arrays/issue-52937.jl	4	vanilla	3	9816230917
multithreaded	big_arrays/issue-52937.jl	4	regions	3	9941239565
serial	append/append.jl	1	vanilla	4	1522425069
serial	append/append.jl	1	regions	4	1537823203
serial	linked/tree.jl	1	vanilla	4	8981507188
serial	linked/tree.jl	1	regions	4	9143873132
serial	strings/strings.jl	1	vanilla	4	18427024421
serial	strings/strings.jl	1	regions	4	18898395179
serial	bigint/pollard.jl	1	vanilla	4	654303461
serial	bigint/pollard.jl	1	regions	4	671501281
serial	big_arrays/single_ref.jl	1	vanilla	4	405911412
serial	big_arrays/single_ref.jl	1	regions	4	387360967
serial	big_arrays/many_refs.jl	1	vanilla	4	1973881828
serial	big_arrays/many_refs.jl	1	regions	4	1804456302
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	4	1606267754
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	4	1606719928
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	4	786099259
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	4	773042253
multithreaded	big_arrays/issue-52937.jl	4	vanilla	4	9909170154
multithreaded	big_arrays/issue-52937.jl	4	regions	4	9943139702
serial	append/append.jl	1	vanilla	5	1520843222
serial	append/append.jl	1	regions	5	1547412894
serial	linked/tree.jl	1	vanilla	5	8709105642
serial	linked/tree.jl	1	regions	5	8945133221
serial	strings/strings.jl	1	vanilla	5	18691261137
serial	strings/strings.jl	1	regions	5	18623961991
serial	bigint/pollard.jl	1	vanilla	5	653103555
serial	bigint/pollard.jl	1	regions	5	661599511
serial	big_arrays/single_ref.jl	1	vanilla	5	443068216
serial	big_arrays/single_ref.jl	1	regions	5	389709360
serial	big_arrays/many_refs.jl	1	vanilla	5	1977900865
serial	big_arrays/many_refs.jl	1	regions	5	1809058308
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	5	1604301343
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	5	1619197700
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	5	814530133
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	5	772050622
multithreaded	big_arrays/issue-52937.jl	4	vanilla	5	9781570466
multithreaded	big_arrays/issue-52937.jl	4	regions	5	9900487665
