# set	bench	threads	binary	round	wall_ns
serial	append/append.jl	1	regions	1	784466215
serial	linked/tree.jl	1	vanilla	1	8726487392
serial	linked/tree.jl	1	regions	1	8734659881
serial	strings/strings.jl	1	vanilla	1	18537101186
serial	strings/strings.jl	1	regions	1	18756357180
serial	bigint/pollard.jl	1	vanilla	1	658790271
serial	bigint/pollard.jl	1	regions	1	693547034
serial	big_arrays/single_ref.jl	1	vanilla	1	274410750
serial	big_arrays/single_ref.jl	1	regions	1	273403681
serial	big_arrays/many_refs.jl	1	vanilla	1	1730567725
serial	big_arrays/many_refs.jl	1	regions	1	1745989050
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	1	1647151079
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	1	1668207644
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	1	596552642
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	1	592767380
multithreaded	big_arrays/issue-52937.jl	4	vanilla	1	9442282991
multithreaded	big_arrays/issue-52937.jl	4	regions	1	9432936037
serial	linked/tree.jl	1	vanilla	2	8926240181
serial	linked/tree.jl	1	regions	2	8850888150
serial	strings/strings.jl	1	vanilla	2	18698020561
serial	strings/strings.jl	1	regions	2	18594585718
serial	bigint/pollard.jl	1	vanilla	2	651209760
serial	bigint/pollard.jl	1	regions	2	690493854
serial	big_arrays/single_ref.jl	1	vanilla	2	272556603
serial	big_arrays/single_ref.jl	1	regions	2	276258707
serial	big_arrays/many_refs.jl	1	vanilla	2	1732108291
serial	big_arrays/many_refs.jl	1	regions	2	1738859479
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	2	1695630271
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	2	1724016215
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	2	595900732
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	2	599183315
multithreaded	big_arrays/issue-52937.jl	4	vanilla	2	9396151017
