# binary	round	threads	gcthreads	collection	wall_ms	mark_ms	sweep_ms	safepoint_us	live_mb
vanilla	1	1	1	1	51.702	47.519	4.161	3.096	55.1
vanilla	1	1	1	2	41.036	36.834	4.169	9.347	55.1
vanilla	1	1	1	3	39.228	35.241	3.961	3.858	55.1
vanilla	1	1	1	4	38.994	35.071	3.9	3.456	55.1
vanilla	1	1	1	5	39.126	35.31	3.794	3.587	55.1
vanilla	1	1	1	6	38.896	35.013	3.858	5.009	55.1
vanilla	1	1	1	7	38.87	35.043	3.803	4.118	55.1
vanilla	1	1	1	8	39.686	35.809	3.853	5.23	55.1
vanilla	1	1	1	9	39.39	35.479	3.885	4.538	55.1
vanilla	1	1	1	10	39.154	35.272	3.853	6.312	55.1
vanilla	1	1	1	11	38.894	35.203	3.666	5.32	55.1
vanilla	1	1	1	12	38.983	35.187	3.77	5.631	55.1
regions	1	1	1	1	51.567	47.385	4.158	4.047	55.1
regions	1	1	1	2	41.699	37.188	4.472	11.802	55.1
regions	1	1	1	3	39.37	35.206	4.139	3.145	55.1
regions	1	1	1	4	39.321	35.317	3.976	3.988	55.1
regions	1	1	1	5	39.283	35.441	3.814	4.158	55.1
regions	1	1	1	6	39.189	35.233	3.932	4.338	55.1
regions	1	1	1	7	38.758	34.988	3.746	4.018	55.1
regions	1	1	1	8	39.309	35.368	3.918	3.917	55.1
regions	1	1	1	9	39.002	35.232	3.748	4.619	55.1
regions	1	1	1	10	38.918	35.099	3.796	4.328	55.1
regions	1	1	1	11	39.182	35.375	3.781	5.61	55.1
regions	1	1	1	12	39.138	35.182	3.933	3.818	55.1
vanilla	1	4	2	1	56.326	48.609	7.654	32.421	151.1
vanilla	1	4	2	2	57.004	49.315	7.64	14.608	151.1
vanilla	1	4	2	3	56.321	48.622	7.668	5.681	151.1
vanilla	1	4	2	4	55.788	48.227	7.533	6.152	151.1
vanilla	1	4	2	5	56.184	48.591	7.564	7.394	151.1
vanilla	1	4	2	6	56.237	48.625	7.583	6.222	151.1
vanilla	1	4	2	7	56.261	48.632	7.601	7.294	151.1
vanilla	1	4	2	8	55.663	48.106	7.53	4.829	151.1
vanilla	1	4	2	9	56.073	48.551	7.494	5.4	151.1
vanilla	1	4	2	10	56.5	48.868	7.591	5.791	151.1
vanilla	1	4	2	11	56.467	48.749	7.686	6.883	151.1
vanilla	1	4	2	12	56.472	48.808	7.633	7.555	151.1
regions	1	4	2	1	56.263	48.445	7.784	9.467	151.1
regions	1	4	2	2	58.048	49.995	8.008	13.505	151.1
regions	1	4	2	3	55.808	47.851	7.921	6.442	151.1
regions	1	4	2	4	55.832	47.874	7.924	7.273	151.1
regions	1	4	2	5	56.774	48.769	7.973	7.054	151.1
regions	1	4	2	6	56.307	48.326	7.951	5.841	151.1
regions	1	4	2	7	56.258	48.296	7.93	6.903	151.1
regions	1	4	2	8	56.137	48.108	7.996	6.873	151.1
regions	1	4	2	9	56.481	48.447	8.003	6.352	151.1
regions	1	4	2	10	56.276	48.27	7.974	7.154	151.1
regions	1	4	2	11	56.512	48.513	7.965	8.937	151.1
regions	1	4	2	12	56.332	48.324	7.973	7.384	151.1
vanilla	1	8	4	1	69.677	59.558	10.082	7.283	279.1
vanilla	1	8	4	2	57.473	47.714	9.711	13.275	279.2
vanilla	1	8	4	3	70.615	60.859	9.721	6.652	279.2
vanilla	1	8	4	4	58.17	48.425	9.712	7.574	279.2
vanilla	1	8	4	5	65.997	56.208	9.757	5.45	279.2
vanilla	1	8	4	6	69.517	59.711	9.773	6.201	279.2
vanilla	1	8	4	7	57.384	47.515	9.834	7.685	279.2
vanilla	1	8	4	8	61.391	51.552	9.805	7.534	279.2
vanilla	1	8	4	9	56.807	46.903	9.869	7.444	279.2
vanilla	1	8	4	10	55.99	45.923	10.019	6.743	279.2
vanilla	1	8	4	11	56.366	46.389	9.94	7.855	279.2
vanilla	1	8	4	12	56.797	46.78	9.981	7.875	279.2
regions	1	8	4	1	71.875	61.719	10.113	7.875	279.1
regions	1	8	4	2	56.991	47.09	9.848	15.319	279.2
regions	1	8	4	3	56.959	46.959	9.962	7.004	279.2
regions	1	8	4	4	58.085	48.037	10.015	5.36	279.2
regions	1	8	4	5	57.188	47.223	9.93	7.724	279.2
regions	1	8	4	6	61.147	51.078	10.036	6.052	279.2
regions	1	8	4	7	58.857	48.667	10.155	6.983	279.2
regions	1	8	4	8	56.655	46.403	10.216	6.392	279.2
regions	1	8	4	9	57.062	46.92	10.109	4.689	279.2
regions	1	8	4	10	60.235	50.091	10.109	6.742	279.2
regions	1	8	4	11	58.094	48.008	10.047	5.961	279.2
regions	1	8	4	12	76.503	66.299	10.168	8.586	279.2
vanilla	1	16	8	1	75.531	59.472	16.012	9.117	535.2
vanilla	1	16	8	2	69.049	52.891	16.109	7.554	535.2
vanilla	1	16	8	3	68.485	52.238	16.207	6.091	535.2
vanilla	1	16	8	4	70.461	54.512	15.907	7.213	535.2
vanilla	1	16	8	5	65.676	49.429	16.206	7.113	535.2
vanilla	1	16	8	6	63.024	46.989	15.996	6.092	535.2
vanilla	1	16	8	7	62.558	46.533	15.982	6.863	535.2
vanilla	1	16	8	8	66.35	50.75	15.544	6.873	535.2
vanilla	1	16	8	9	69.576	53.237	16.294	7.133	535.2
vanilla	1	16	8	10	68.4	53.477	14.881	7.304	535.2
vanilla	1	16	8	11	76.338	60.08	16.2	22.333	535.2
vanilla	1	16	8	12	63.136	46.865	16.23	5.751	535.2
regions	1	16	8	1	78.575	62.677	15.852	7.525	535.2
regions	1	16	8	2	74.132	58.018	16.064	8.636	535.2
regions	1	16	8	3	63.168	46.284	16.841	6.833	535.2
regions	1	16	8	4	69.138	52.547	16.555	6.893	535.2
regions	1	16	8	5	68.591	51.526	17.032	5.18	535.2
regions	1	16	8	6	71.219	54.017	17.171	5.19	535.2
regions	1	16	8	7	70.224	54.115	16.07	7.233	535.2
regions	1	16	8	8	72.207	56.307	15.859	7.234	535.2
regions	1	16	8	9	70.239	53.48	16.724	6.683	535.2
regions	1	16	8	10	67.75	50.579	17.107	5.851	535.2
regions	1	16	8	11	66.639	49.677	16.886	26.139	535.2
regions	1	16	8	12	64.684	47.803	16.839	7.534	535.2
vanilla	1	30	15	1	88.421	64.49	23.882	7.113	983.3
vanilla	1	30	15	2	80.48	57.198	23.203	25.498	983.3
vanilla	1	30	15	3	81.91	58.791	23.066	6.021	983.3
vanilla	1	30	15	4	78.672	55.231	23.392	5.951	983.3
vanilla	1	30	15	5	79.718	56.289	23.376	6.793	983.3
vanilla	1	30	15	6	77.345	54.093	23.2	7.434	983.3
vanilla	1	30	15	7	82.071	58.637	23.374	6.743	983.3
vanilla	1	30	15	8	79.805	57.262	22.487	6.983	983.3
vanilla	1	30	15	9	84.671	61.332	23.262	22.733	983.3
vanilla	1	30	15	10	77.507	54.013	23.432	6.573	983.3
vanilla	1	30	15	11	74.144	50.772	23.312	9.087	983.3
vanilla	1	30	15	12	87.49	64.05	23.386	6.733	983.3
regions	1	30	15	1	107.958	83.264	24.512	31.4	983.3
regions	1	30	15	2	83.689	58.795	24.837	7.955	983.3
regions	1	30	15	3	79.438	54.636	24.751	6.723	983.3
regions	1	30	15	4	79.63	55.03	24.545	10.77	983.3
regions	1	30	15	5	82.075	57.258	24.763	7.604	983.3
regions	1	30	15	6	83.153	58.405	24.686	8.506	983.3
regions	1	30	15	7	81.962	57.222	24.69	8.957	983.3
regions	1	30	15	8	80.595	55.726	24.805	22.102	983.3
regions	1	30	15	9	79.557	54.661	24.85	6.642	983.3
regions	1	30	15	10	82.401	57.457	24.894	6.032	983.3
regions	1	30	15	11	81.776	56.858	24.869	6.562	983.3
regions	1	30	15	12	83.951	59.871	24.03	7.254	983.3
regions	2	1	1	1	51.564	47.439	4.099	4.809	55.1
regions	2	1	1	2	40.962	36.78	4.139	14.508	55.1
regions	2	1	1	3	39.26	35.207	4.026	5.04	55.1
regions	2	1	1	4	39.58	35.559	3.998	4.138	55.1
regions	2	1	1	5	39.069	35.251	3.795	4.399	55.1
regions	2	1	1	6	39.221	35.337	3.862	4.338	55.1
regions	2	1	1	7	38.924	35.169	3.732	4.919	55.1
regions	2	1	1	8	40.178	35.97	4.187	4.539	55.1
regions	2	1	1	9	39.348	35.504	3.822	4.368	55.1
regions	2	1	1	10	38.803	35.105	3.673	5.06	55.1
regions	2	1	1	11	38.633	34.978	3.633	4.147	55.1
regions	2	1	1	12	38.87	34.975	3.871	5.0	55.1
vanilla	2	1	1	1	51.956	47.725	4.205	2.845	55.1
vanilla	2	1	1	2	41.606	37.356	4.199	26.63	55.1
vanilla	2	1	1	3	39.545	35.696	3.823	4.879	55.1
vanilla	2	1	1	4	39.715	35.565	4.126	5.28	55.1
vanilla	2	1	1	5	39.786	35.943	3.818	4.128	55.1
vanilla	2	1	1	6	40.281	36.184	4.074	4.418	55.1
vanilla	2	1	1	7	39.341	35.616	3.706	4.729	55.1
vanilla	2	1	1	8	39.258	35.564	3.659	3.978	55.1
vanilla	2	1	1	9	39.111	35.301	3.787	5.531	55.1
vanilla	2	1	1	10	39.248	35.415	3.816	2.765	55.1
vanilla	2	1	1	11	39.029	35.305	3.706	3.567	55.1
vanilla	2	1	1	12	39.471	35.697	3.753	4.438	55.1
regions	2	4	2	1	56.866	48.835	7.973	32.281	151.1
regions	2	4	2	2	57.487	49.517	7.924	15.819	151.1
regions	2	4	2	3	56.555	48.656	7.87	5.44	151.1
regions	2	4	2	4	56.661	48.872	7.762	4.318	151.1
regions	2	4	2	5	56.328	48.482	7.815	5.51	151.1
regions	2	4	2	6	56.228	48.43	7.768	5.711	151.1
regions	2	4	2	7	54.628	46.796	7.804	6.462	151.1
regions	2	4	2	8	56.523	48.597	7.896	6.011	151.1
regions	2	4	2	9	56.194	48.328	7.836	6.432	151.1
regions	2	4	2	10	55.98	48.044	7.906	6.362	151.1
regions	2	4	2	11	56.169	48.299	7.842	5.31	151.1
regions	2	4	2	12	55.881	48.02	7.834	5.721	151.1
vanilla	2	4	2	1	56.303	48.676	7.593	10.46	151.1
vanilla	2	4	2	2	56.918	49.44	7.434	14.297	151.1
vanilla	2	4	2	3	56.189	48.778	7.367	6.423	151.1
vanilla	2	4	2	4	56.023	48.687	7.3	7.675	151.1
vanilla	2	4	2	5	55.835	48.434	7.372	6.422	151.1
vanilla	2	4	2	6	56.226	48.856	7.339	6.823	151.1
