# binary	round	cost	value	unit	samples
vanilla	1	store_disarmed	0.3337	ns/store	0.408,0.3342,0.3348,0.4078,0.4069,0.334,0.3337,0.4069
vanilla	1	construct_two	7.137	ns/object	7.137,7.302,7.316,7.248,7.272,7.285,7.354,7.408
vanilla	1	construct_shared	3.425	ns/object	3.483,3.458,3.431,3.425,3.43,3.472,3.432,3.425
vanilla	1	box_twin	3.732	ns/object	3.732,3.782,3.783,3.774,3.792,3.778,3.813,3.785
vanilla	1	alloc_stock	2.009	ns/object	2.009,2.078,2.218,2.184,2.011,2.079,2.229,2.185
vanilla	1	stock_mark	64.41	ms/collection	
regions_stock	1	store_disarmed	0.376	ns/store	0.3768,0.376,0.6065,0.3985,0.4041,0.3908,0.4729,0.3873
regions_stock	1	construct_two	7.323	ns/object	7.323,7.454,7.777,7.505,7.709,7.346,7.405,7.353
regions_stock	1	construct_shared	3.63	ns/object	3.657,3.644,3.63,3.642,3.64,3.646,3.632,3.677
regions_stock	1	box_twin	4.259	ns/object	4.295,4.273,4.272,4.292,4.269,4.259,4.266,4.269
regions_stock	1	alloc_stock	2.125	ns/object	2.135,2.243,2.24,2.132,2.141,2.245,2.238,2.125
regions_stock	1	stock_mark	64.07	ms/collection	
regions	1	store_disarmed	0.3775	ns/store	0.3792,0.3775,0.6072,0.3968,0.4076,0.3826,0.4036,0.3852
regions	1	store_armed	0.3732	ns/store	0.3912,0.3732,0.607,0.3743,0.379,0.3802,0.473,0.3871
regions	1	store_region	0.3763	ns/store	0.3899,0.3793,0.3909,0.3763,0.3861,0.3832,0.6073,0.3812
regions	1	window_pair	2.01	ns/pair	
regions	1	switch_pair	2.01	ns/pair	
regions	1	construct_two	7.423	ns/object	7.423,7.443,7.443,7.594,7.453,7.456,7.449,7.458
regions	1	construct_shared	3.634	ns/object	3.652,3.645,3.634,3.692,3.654,3.671,3.726,3.652
regions	1	box_twin	4.33	ns/object	4.396,4.421,4.376,4.33,4.413,4.351,4.37,4.352
regions	1	alloc_stock	2.155	ns/object	2.155,2.253,2.239,2.16,2.162,2.244,2.247,2.158
regions	1	alloc_region	2.116	ns/object	2.116,2.247,2.23,2.117,2.119,2.227,2.225,2.127
regions	1	reset_slice	20.0	ns/reset	
regions	1	reset_slice_checked	20.0	ns/reset	
regions	1	stock_mark	64.94	ms/collection	
regions	2	store_disarmed	0.376	ns/store	0.3812,0.376,0.6069,0.3784,0.4074,0.3829,0.4722,0.3857
regions	2	store_armed	0.3779	ns/store	0.3825,0.3814,0.6068,0.3998,0.3899,0.3888,0.3779,0.3865
regions	2	store_region	0.374	ns/store	0.3874,0.374,0.395,0.4076,0.3848,0.3801,0.3764,0.386
regions	2	window_pair	2.01	ns/pair	
regions	2	switch_pair	2.01	ns/pair	
regions	2	construct_two	7.302	ns/object	7.394,7.454,7.302,7.552,7.351,7.402,7.361,7.412
regions	2	construct_shared	3.647	ns/object	3.652,3.661,3.666,3.655,3.672,3.647,3.653,3.689
regions	2	box_twin	4.258	ns/object	4.258,4.327,4.357,4.342,4.314,4.316,4.326,4.363
regions	2	alloc_stock	2.118	ns/object	2.118,2.239,2.234,2.129,2.125,2.235,2.238,2.136
regions	2	alloc_region	2.113	ns/object	2.113,2.241,2.229,2.118,2.116,2.228,2.235,2.115
regions	2	reset_slice	20.0	ns/reset	
regions	2	reset_slice_checked	20.0	ns/reset	
regions	2	stock_mark	64.32	ms/collection	
regions_stock	2	store_disarmed	0.3765	ns/store	0.3814,0.3765,0.6055,0.3903,0.3797,0.3869,0.606,0.3877
regions_stock	2	construct_two	7.488	ns/object	7.488,7.6,7.521,7.885,7.515,7.494,7.511,7.497
