# variant	K	W	B	every	events	collections	stw_us	mark_us	sweep_us	live_cells	freed_cells	pause_p50_ms	pause_max_ms	wall_s	events_per_s	p50_ns	p99_ns	p999_ns	p9999_ns	max_ns	max_clean_ns	over_100us	switches	page_faults	stock_collections	peak_rss_mb
auto	10000	200	100	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.738723003	6.768436856162174e6	60	381	521	641	3961056	3961056	316	0	0	316	1247.00672
sched	10000	200	100	100000	5000000	50	NA	NA	NA	NA	NA	0.252086	3.492552	0.725590408	6.890940046715722e6	60	380	521	641	3547095	3547095	337	0	0	338	1247.043584
real	10000	200	100	100000	5000000	50	0.06658	27.90922	5.06254	10002	100400	0.032462	0.050275	0.353931234	1.4127038022306899e7	50	80	90	181	52870	52870	0	0	0	NA	1207.296
real	10000	200	100	0	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.350795986	1.4253298782044787e7	50	80	220	321	14337	14337	0	0	0	NA	1207.21408
auto	10000	3	1000	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.298232731	1.6765430082857003e7	31	50	130	271	3970674	3970674	35	0	0	35	1247.121408
sched	10000	3	1000	100000	5000000	50	NA	NA	NA	NA	NA	0.298444	3.728988	0.307732952	1.6247853756005954e7	40	50	80	191	3729098	3729098	50	0	0	51	1247.236096
real	10000	3	1000	100000	5000000	50	0.0485	24.138540000000003	4.2945	10002	100400	0.028124	0.042951	0.325781646	1.5347703166801484e7	41	51	80	110	44624	44624	0	0	0	NA	1207.209984
real	10000	3	1000	0	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.313585868	1.594459607471852e7	40	51	160	271	10450	10450	0	0	0	NA	1207.332864
auto	10000	200	100	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.761546597	6.56558642596101e6	80	390	521	651	3348937	3348937	324	0	0	324	1683.460096
sched	10000	200	100	100000	5000000	50	NA	NA	NA	NA	NA	0.190389	3.107752	0.762568033	6.556792028548094e6	71	381	521	661	3259399	3259399	361	0	0	363	1655.939072
real	10000	200	100	100000	5000000	50	0.052520000000000004	23.924799999999998	4.7818000000000005	10002	100400	0.028414	0.048732	0.348519333	1.4346406430199383e7	50	80	90	130	53441	53441	0	0	0	NA	1617.158144
real	10000	200	100	0	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.348065096	1.436512898725128e7	50	80	230	351	14498	14498	0	0	0	NA	1616.502784
auto	10000	3	1000	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.299272361	1.6707189341818305e7	40	50	110	241	3681756	3681756	37	0	0	37	1665.253376
sched	10000	3	1000	100000	5000000	50	NA	NA	NA	NA	NA	0.291731	3.239992	0.310483239	1.6103928882293062e7	40	50	80	200	3244531	3244531	50	0	0	51	1656.152064
real	10000	3	1000	100000	5000000	50	0.049159999999999995	23.78842	4.87582	10002	100400	0.028304	0.045887	0.309817764	1.6138519416853063e7	40	51	71	161	49694	49694	0	0	0	NA	1616.515072
real	10000	3	1000	0	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.306543808	1.6310882391074102e7	40	51	80	290	10420	10420	0	0	0	NA	1616.510976
