# demo	point	threads	mode	wall_ms	collections	gc_ms	peak_rss_mb
B	small   (160x100, 8 spp, depth 8, 1 threads)	1	region	13.535327	0	0.0	272.91015625
B	small   (160x100, 8 spp, depth 8, 1 threads)	1	stock	12.944482	0	0.0	272.9140625
B	medium  (160x100, 24 spp, depth 8, 1 threads)	1	region	38.803128	0	0.0	276.39453125
B	medium  (160x100, 24 spp, depth 8, 1 threads)	1	stock	38.660939	2	0.245142	276.39453125
B	large   (160x100, 64 spp, depth 8, 1 threads)	1	region	101.636241	0	0.0	276.39453125
B	large   (160x100, 64 spp, depth 8, 1 threads)	1	stock	102.27719	6	0.653254	276.39453125
D	work=0     (grid 16, work=0, 1 threads)	1	region	89.217832	0	0.0	279.65625
D	work=0     (grid 16, work=0, 1 threads)	1	stock	88.944426	0	0.0	279.67578125
D	work=512   (grid 16, work=512, 1 threads)	1	region	86.142297	0	0.0	288.19140625
D	work=512   (grid 16, work=512, 1 threads)	1	stock	91.092109	2	1.677537	288.19140625
D	work=2048  (grid 16, work=2048, 1 threads)	1	region	89.478123	0	0.0	288.19140625
D	work=2048  (grid 16, work=2048, 1 threads)	1	stock	88.072761	10	5.983906	290.40625
B	small   (160x100, 8 spp, depth 8, 2 threads)	2	region	10.816255	0	0.0	276.29296875
B	small   (160x100, 8 spp, depth 8, 2 threads)	2	stock	10.513313	0	0.0	278.01953125
B	medium  (160x100, 24 spp, depth 8, 2 threads)	2	region	30.420166	0	0.0	279.10546875
B	medium  (160x100, 24 spp, depth 8, 2 threads)	2	stock	30.561523	2	0.249762	280.08984375
B	large   (160x100, 64 spp, depth 8, 2 threads)	2	region	79.136153	0	0.0	280.09765625
B	large   (160x100, 64 spp, depth 8, 2 threads)	2	stock	80.247941	7	0.717763	280.09765625
D	work=0     (grid 16, work=0, 2 threads)	2	region	55.227597	0	0.0	282.19921875
D	work=0     (grid 16, work=0, 2 threads)	2	stock	56.125242	0	0.0	282.19921875
D	work=512   (grid 16, work=512, 2 threads)	2	region	56.381585	0	0.0	286.87890625
D	work=512   (grid 16, work=512, 2 threads)	2	stock	58.680725	4	3.398234	292.09375
D	work=2048  (grid 16, work=2048, 2 threads)	2	region	57.831062	0	0.0	286.73046875
D	work=2048  (grid 16, work=2048, 2 threads)	2	stock	69.160896	16	8.641861	300.59765625
B	small   (160x100, 8 spp, depth 8, 4 threads)	4	region	6.045882	0	0.0	282.32421875
B	small   (160x100, 8 spp, depth 8, 4 threads)	4	stock	5.538013	0	0.0	282.33203125
B	medium  (160x100, 24 spp, depth 8, 4 threads)	4	region	16.713275	0	0.0	284.203125
B	medium  (160x100, 24 spp, depth 8, 4 threads)	4	stock	16.595643	2	0.257356	284.1875
B	large   (160x100, 64 spp, depth 8, 4 threads)	4	region	43.228701	0	0.0	284.21875
B	large   (160x100, 64 spp, depth 8, 4 threads)	4	stock	44.629825	7	0.817663	284.21875
D	work=0     (grid 16, work=0, 4 threads)	4	region	35.364448	0	0.0	285.87890625
D	work=0     (grid 16, work=0, 4 threads)	4	stock	35.425513	0	0.0	285.87890625
D	work=512   (grid 16, work=512, 4 threads)	4	region	35.190469	0	0.0	296.28125
D	work=512   (grid 16, work=512, 4 threads)	4	stock	37.207737	5	4.032209	296.30859375
D	work=2048  (grid 16, work=2048, 4 threads)	4	region	36.453984	0	0.0	296.30859375
D	work=2048  (grid 16, work=2048, 4 threads)	4	stock	45.447168	27	9.12388	301.84375
B	small   (160x100, 8 spp, depth 8, 8 threads)	8	region	3.745028	0	0.0	287.5859375
B	small   (160x100, 8 spp, depth 8, 8 threads)	8	stock	3.33803	0	0.0	287.6171875
B	medium  (160x100, 24 spp, depth 8, 8 threads)	8	region	10.176668	0	0.0	288.765625
B	medium  (160x100, 24 spp, depth 8, 8 threads)	8	stock	10.152742	2	0.355401	289.23046875
B	large   (160x100, 64 spp, depth 8, 8 threads)	8	region	26.345334	2	0.30741	289.30078125
B	large   (160x100, 64 spp, depth 8, 8 threads)	8	stock	26.837303	7	0.933784	289.30078125
D	work=0     (grid 16, work=0, 8 threads)	8	region	23.512478	0	0.0	289.88671875
D	work=0     (grid 16, work=0, 8 threads)	8	stock	24.935093	1	1.464834	290.14453125
D	work=512   (grid 16, work=512, 8 threads)	8	region	27.099839	1	1.562288	299.46484375
D	work=512   (grid 16, work=512, 8 threads)	8	stock	26.409967	5	3.023938	308.4296875
D	work=2048  (grid 16, work=2048, 8 threads)	8	region	29.509377	4	3.412791	318.71875
D	work=2048  (grid 16, work=2048, 8 threads)	8	stock	35.952307	20	8.013716	312.29296875
