# showcase	mode	param	wall_s	collections	gc_ms	peak_rss_mb
binarytree	stock	18	0.384857027	31	83.310652	271.245312
linkedlist	stock	64	2.185587343	10	1734.098434	2385.248256
binarytree	region	18	0.402248823	0	0.0	262.844416
linkedlist	region	64	0.567519759	0	0.0	2385.268736
tree	tree	3	0.00623607	0	0.0	NA
tree	stock	3	0.008387852000000001	6	0.941228	NA
binarytree	stock	18	0.38962154	31	85.618649	271.286272
linkedlist	stock	64	2.387166548	10	1732.554951	2385.211392
binarytree	region	18	0.366866622	0	0.0	262.803456
linkedlist	region	64	0.572105283	0	0.0	2385.268736
tree	tree	3	0.0058757900000000005	0	0.0	NA
tree	stock	3	0.008418089	6	0.965342	NA
binarytree	stock	18	0.387249462	31	84.538749	271.27808
linkedlist	stock	64	2.144946757	10	1694.653042	2385.3056
binarytree	region	18	0.366115173	0	0.0	262.877184
linkedlist	region	64	0.566334802	0	0.0	2385.276928
tree	tree	3	0.006598574	0	0.0	NA
tree	stock	3	0.008192172	6	0.925607	NA
