# variant	K	W	B	every	events	collections	stw_us	mark_us	sweep_us	live_cells	freed_cells	pause_p50_ms	pause_max_ms	wall_s	events_per_s	p50_ns	p99_ns	p999_ns	p9999_ns	max_ns	max_clean_ns	over_100us	switches	page_faults	stock_collections	peak_rss_mb
scoped	300	3	1	100000	2000000	20	3.4711	3.4775500000000004	1.0388499999999998	302	100515	0.007113	0.048391	0.123147197	1.624072694078453e7	NA	NA	NA	NA	NA	NA	NA	2	0	NA	1058.250752
coop	300	3	1	100000	2000000	20	0.04165	2.14005	0.95035	302	100515	0.002374	0.017723	0.113082023	1.768627715476933e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1048.551424
full	300	3	1	100000	2000000	20	NA	NA	NA	NA	NA	1.796889	6.000558	0.081975474	2.439754114749004e7	NA	NA	NA	NA	NA	NA	NA	1	0	20	1047.691264
scoped	1000	3	1	100000	2000000	20	2.85635	4.6538	1.322	1002	100550	0.007955	0.052288	0.112120539	1.783794492818127e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1058.066432
coop	1000	3	1	100000	2000000	20	0.0711	4.259	1.5896	1002	100550	0.005009	0.020919	0.119883361	1.6682882289227778e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1047.810048
full	1000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	1.967571	5.997151	0.086110342	2.3226013897378318e7	NA	NA	NA	NA	NA	NA	NA	1	0	20	1047.576576
scoped	3000	3	1	100000	2000000	20	2.8108	9.81805	2.1265	3002	100650	0.013415	0.05792	0.120387572	1.6613010519059226e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1058.021376
coop	3000	3	1	100000	2000000	20	0.061700000000000005	9.9231	1.9707999999999999	3002	100650	0.01086	0.027712	0.113030076	1.7694405513803247e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1047.965696
full	3000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	2.318062	6.324137	0.093502274	2.138985411199732e7	NA	NA	NA	NA	NA	NA	NA	1	0	20	1047.793664
scoped	10000	3	1	100000	2000000	20	3.3022	27.34575	4.46775	10002	101000	0.034054	0.074321	0.123287391	1.6222259095417148e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1058.238464
coop	10000	3	1	100000	2000000	20	0.047049999999999995	25.1816	4.9472	10002	101000	0.029075	0.049303	0.120240325	1.6633354908180762e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1048.100864
full	10000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	2.461523	6.81816	0.09722227	2.0571418462045785e7	NA	NA	NA	NA	NA	NA	NA	1	0	20	1048.027136
scoped	30000	3	1	100000	2000000	20	2.9741500000000003	78.36875	13.7865	30002	102000	0.092574	0.154001	0.114266066	1.7503009161092497e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1058.398208
coop	30000	3	1	100000	2000000	20	0.04955	72.42415	13.792950000000001	30002	102000	0.082606	0.124524	0.114296453	1.7498355788871244e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1048.322048
full	30000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	3.111869	7.346807	0.107952198	1.852671865004546e7	NA	NA	NA	NA	NA	NA	NA	1	0	20	1048.031232
scoped	100000	3	1	100000	2000000	20	2.9215500000000003	257.10335	47.15985	100002	105500	0.296439	0.464857	0.117653405	1.699908302696382e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1058.533376
coop	100000	3	1	100000	2000000	20	0.06709999999999999	233.51295000000002	43.717949999999995	100002	105500	0.273796	0.329281	0.11847259	1.688154196679586e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1050.120192
full	100000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	5.409623	9.939627	0.153870845	1.299791393229822e7	NA	NA	NA	NA	NA	NA	NA	1	0	20	1049.141248
