# variant	K	W	B	every	events	collections	stw_us	mark_us	sweep_us	live_cells	freed_cells	pause_p50_ms	pause_max_ms	wall_s	events_per_s	p50_ns	p99_ns	p999_ns	p9999_ns	max_ns	max_clean_ns	over_100us	switches	page_faults	stock_collections	peak_rss_mb
autopool	10000	3	1	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.092176894	5.4243528752444185e7	NA	NA	NA	NA	NA	NA	NA	1	0	9	1048.584192
batch	10000	3	1	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.230284538	2.171226971391366e7	NA	NA	NA	NA	NA	NA	NA	2	0	NA	1048.539136
batch	10000	3	100	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.080979545	6.1743987324206375e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1058.361344
batch	10000	3	1000	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.082868578	6.033650052496376e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1059.037184
pooled	10000	3	1	100000	5000000	50	2.01782	26.22626	3.62864	10002	487	0.03187	0.072106	0.178750471	2.797195426690652e7	NA	NA	NA	NA	NA	NA	NA	2	0	NA	1048.825856
autopool	10000	200	1	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.448631972	1.1144992582026677e7	NA	NA	NA	NA	NA	NA	NA	5	0	242	1059.4304
batch	10000	200	1	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.245146199	2.039599235230239e7	NA	NA	NA	NA	NA	NA	NA	2	0	NA	1049.116672
batch	10000	200	100	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.112897606	4.42879187358499e7	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1059.622912
batch	10000	200	1000	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.125000452	3.9999855360523015e7	NA	NA	NA	NA	NA	NA	NA	2	0	NA	1059.581952
pooled	10000	200	1	100000	5000000	50	1.7843	24.52142	3.6564	10002	487	0.030337	0.058821	0.239694647	2.085987343722365e7	NA	NA	NA	NA	NA	NA	NA	2	0	NA	1049.468928
