# t_s	rss_mb	live_mb	reset_pages	misses
9.999900093	333.811712	44.938168	3	0
19.99990012	333.811712	47.87156	3	0
29.999900186	333.811712	50.804952	3	0
39.999900111	333.811712	53.738168	3	0
49.999900112	333.811712	56.67156	3	0
59.999900181	333.811712	59.604952	3	0
69.999900101	333.811712	62.538168	3	0
79.999900099	333.811712	65.47156	3	0
89.999900146	333.811712	68.404952	3	0
99.999900102	333.811712	71.338168	3	0
109.999900118	333.811712	74.27156	3	0
119.999900183	333.811712	77.204952	3	0
129.999900109	333.811712	80.138168	3	0
139.999900115	333.811712	83.07156	3	0
149.999900154	333.811712	86.004952	3	0
159.999900104	333.811712	88.938168	3	0
169.9999001	333.811712	91.87156	3	0
179.999900148	333.811712	94.804952	3	0
189.999900104	333.811712	97.738168	3	0
199.9999001	333.811712	100.67156	3	0
209.999900196	333.811712	103.604952	3	0
219.999900101	333.811712	106.538168	3	0
229.999900107	333.811712	109.47156	3	0
239.999900147	333.811712	112.404952	3	0
249.999900105	333.811712	115.338168	3	0
259.999900093	333.811712	118.27156	3	0
269.999900179	333.811712	121.204952	3	0
279.999900104	333.811712	124.138168	3	0
289.999900112	333.811712	127.07156	3	0
299.999900189	333.811712	130.004952	3	0
309.999900106	333.811712	132.938168	3	0
319.999900103	333.811712	135.87156	3	0
329.999900159	333.811712	138.804952	3	0
339.99990011	333.811712	141.738168	3	0
349.999900112	333.811712	144.67156	3	0
359.999900188	333.811712	147.604952	3	0
369.999900104	333.811712	150.538168	3	0
379.999900101	333.811712	153.47156	3	0
389.999900147	333.811712	156.404952	3	0
399.999900094	333.811712	159.338168	3	0
409.999900093	333.811712	162.27156	3	0
419.999900131	333.811712	165.204952	3	0
429.999900094	333.811712	168.138168	3	0
439.999900118	333.811712	171.07156	3	0
449.99990018	333.811712	174.004952	3	0
459.999900106	333.811712	176.938168	3	0
469.999900104	333.811712	179.87156	3	0
479.999900142	333.811712	182.804952	3	0
489.9999001	333.811712	185.738168	3	0
499.999900106	333.811712	188.67156	3	0
509.999900183	333.811712	191.604952	3	0
519.999900105	333.811712	194.538168	3	0
529.999900106	333.811712	197.47156	3	0
539.999900186	333.811712	200.404952	3	0
549.999900101	333.811712	203.338168	3	0
559.999900118	333.811712	206.27156	3	0
569.999900146	333.811712	209.204952	3	0
579.999900093	333.811712	212.138168	3	0
589.9999001	333.811712	215.07156	3	0
599.999900177	333.811712	218.004952	3	0
609.999900103	333.811712	220.938168	3	0
619.999900094	333.811712	223.87156	3	0
629.999900143	333.811712	226.804952	3	0
639.999900107	333.811712	229.738168	3	0
649.999900102	333.811712	232.67156	3	0
659.999900171	333.811712	235.604952	3	0
669.999900109	333.811712	238.538168	3	0
679.999900107	333.811712	241.47156	3	0
689.999900176	333.811712	244.404952	3	0
699.999900103	333.811712	247.338168	3	0
709.999900109	333.811712	250.27156	3	0
719.99990013	333.811712	253.204952	3	0
729.999900092	333.811712	256.138168	3	0
739.999900117	333.811712	259.07156	3	0
749.999900176	333.811712	262.004952	3	0
759.999900105	333.811712	264.938168	3	0
769.999900112	333.811712	267.87156	3	0
779.99990014	333.811712	270.804952	3	0
789.999900097	333.811712	273.738168	3	0
799.999900105	333.811712	276.67156	3	0
809.999900134	333.811712	279.604952	3	0
819.999900104	333.811712	282.538168	3	0
829.999900114	333.811712	285.47156	3	0
839.99990018	333.811712	288.404952	3	0
849.999900117	333.811712	291.338168	3	0
859.999900105	333.811712	294.27156	3	0
869.999900142	333.811712	297.204952	3	0
879.999900108	333.811712	300.138168	3	0
889.999900105	333.811712	303.07156	3	0
899.999900187	333.811712	306.004952	3	0
909.999900112	333.811712	308.938168	3	0
919.999900105	333.811712	311.87156	3	0
929.999900182	333.811712	314.804952	3	0
939.99990009	333.811712	317.738168	3	0
949.999900117	333.811712	320.67156	3	0
959.999900144	333.811712	323.604952	3	0
969.999900102	333.811712	326.538168	3	0
979.99990009	333.811712	329.47156	3	0
989.999900147	333.811712	332.404952	3	0
999.999900097	333.811712	335.338168	3	0
1009.999900104	333.811712	338.27156	3	0
1019.999900137	333.811712	341.204952	3	0
1029.999900103	333.811712	344.138168	3	0
1039.99990009	333.811712	347.07156	3	0
1049.999900147	333.811712	350.004952	3	0
1059.999900105	333.811712	352.938168	3	0
1069.999900111	333.811712	355.87156	3	0
1079.999900189	333.811712	358.804952	3	0
1089.999900093	333.811712	361.738168	3	0
1099.999900097	333.811712	364.67156	3	0
1109.999900139	333.811712	367.604952	3	0
1119.999900107	333.811712	370.538168	3	0
1129.999900114	333.811712	373.47156	3	0
1139.999900179	333.811712	376.404952	3	0
1149.999900106	333.811712	379.338168	3	0
1159.999900102	333.811712	382.27156	3	0
1169.999900189	333.811712	385.204952	3	0
1179.999900107	333.811712	388.138168	3	0
1189.999900104	333.811712	391.07156	3	0
1199.999900135	333.811712	394.004952	3	0
1209.999900096	333.811712	396.938168	3	0
1219.999900101	333.811712	399.87156	3	0
1229.999900188	333.811712	402.804952	3	0
1239.999900115	333.811712	405.738168	3	0
1249.999900101	333.811712	408.67156	3	0
1259.999900148	333.811712	411.604952	3	0
1269.999900095	333.811712	414.538168	3	0
1279.999900115	333.811712	417.47156	3	0
1289.999900176	333.811712	420.404952	3	0
1299.999900096	333.811712	423.338168	3	0
1309.999900099	333.811712	426.27156	3	0
1319.99990019	333.811712	429.204952	3	0
1329.999900116	333.811712	432.138168	3	0
1339.999900105	333.811712	435.07156	3	0
1349.999900134	333.811712	438.004952	3	0
1359.999900091	333.811712	440.938168	3	0
1369.999900103	333.811712	443.87156	3	0
1379.99990018	333.811712	446.804952	3	0
1389.999900107	333.811712	449.738168	3	0
1399.999900099	333.811712	452.67156	3	0
1409.999900154	333.811712	455.604952	3	0
1419.999900106	333.811712	458.538168	3	0
1429.999900095	333.811712	461.47156	3	0
1439.999900148	333.811712	464.404952	3	0
1449.999900117	333.811712	467.338168	3	0
1459.999900108	333.811712	470.27156	3	0
1469.999900188	333.811712	473.204952	3	0
1479.999900109	333.811712	476.138168	3	0
1489.999900095	333.811712	479.07156	3	0
1499.999900148	333.811712	482.004952	3	0
1509.999900094	333.811712	484.938168	3	0
1519.999900114	333.811712	487.87156	3	0
1529.999900174	333.811712	490.804952	3	0
1539.999900118	333.811712	493.738168	3	0
1549.999900118	333.811712	496.67156	3	0
1559.99990018	333.811712	499.604952	3	0
1569.999900108	333.811712	502.538168	3	0
1579.999900116	333.811712	505.47156	3	0
1589.999900147	333.811712	508.404952	3	0
1599.99990011	333.811712	511.338168	3	0
1609.999900117	333.811712	514.27156	3	0
1619.999900178	333.811712	517.204952	3	0
1629.999900118	333.811712	520.138168	3	0
1639.999900096	333.811712	523.07156	3	0
1649.999900141	333.811712	526.004952	3	0
1659.99990011	333.811712	528.938168	3	0
1669.999900105	333.811712	531.87156	3	0
1679.999900143	333.811712	534.804952	3	0
1689.999900115	333.811712	537.738168	3	0
1699.999900115	333.811712	540.67156	3	0
1709.999900189	333.811712	543.604952	3	0
1719.999900108	333.811712	546.538168	3	0
1729.999900101	333.811712	549.47156	3	0
1739.999900148	333.811712	552.404952	3	0
1749.999900098	333.811712	555.338168	3	0
1759.999900101	333.811712	558.27156	3	0
1769.999900187	333.811712	561.204952	3	0
1779.999900109	333.811712	564.138168	3	0
1789.999900111	333.811712	567.07156	3	0
1799.999900185	333.811712	570.004952	3	0
