# set	bench	threads	binary	round	wall_ns
serial	append/append.jl	1	regions	1	785805463
serial	linked/tree.jl	1	vanilla	1	8919008546
serial	linked/tree.jl	1	regions	1	8851790347
serial	strings/strings.jl	1	vanilla	1	18639076584
serial	strings/strings.jl	1	regions	1	18686437459
serial	bigint/pollard.jl	1	vanilla	1	650425895
serial	bigint/pollard.jl	1	regions	1	734679374
serial	big_arrays/single_ref.jl	1	vanilla	1	271324302
serial	big_arrays/single_ref.jl	1	regions	1	276139556
serial	big_arrays/many_refs.jl	1	vanilla	1	1746714449
serial	big_arrays/many_refs.jl	1	regions	1	1772896747
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	1	1674460359
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	1	1770801634
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	1	598518271
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	1	630870901
multithreaded	big_arrays/issue-52937.jl	4	vanilla	1	9368982428
multithreaded	big_arrays/issue-52937.jl	4	regions	1	9732714197
serial	linked/tree.jl	1	vanilla	2	8622206926
serial	linked/tree.jl	1	regions	2	8547899092
serial	strings/strings.jl	1	vanilla	2	18895502958
serial	strings/strings.jl	1	regions	2	18698045229
serial	bigint/pollard.jl	1	vanilla	2	648937918
serial	bigint/pollard.jl	1	regions	2	755558557
serial	big_arrays/single_ref.jl	1	vanilla	2	271957827
serial	big_arrays/single_ref.jl	1	regions	2	274019567
serial	big_arrays/many_refs.jl	1	vanilla	2	1729906919
serial	big_arrays/many_refs.jl	1	regions	2	1770215741
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	2	1730591261
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	2	1755493603
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	2	601598774
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	2	601076458
multithreaded	big_arrays/issue-52937.jl	4	vanilla	2	9426411643
multithreaded	big_arrays/issue-52937.jl	4	regions	2	9422889167
serial	append/append.jl	1	regions	3	780047238
serial	linked/tree.jl	1	vanilla	3	8684975631
serial	linked/tree.jl	1	regions	3	8929425480
serial	strings/strings.jl	1	vanilla	3	18926581073
serial	strings/strings.jl	1	regions	3	18680682953
serial	bigint/pollard.jl	1	vanilla	3	653935817
serial	bigint/pollard.jl	1	regions	3	691412042
serial	big_arrays/single_ref.jl	1	vanilla	3	270933024
serial	big_arrays/single_ref.jl	1	regions	3	273811144
serial	big_arrays/many_refs.jl	1	vanilla	3	1731178007
serial	big_arrays/many_refs.jl	1	regions	3	1774102922
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	3	1720246233
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	3	1788755087
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	3	593422698
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	3	617668092
multithreaded	big_arrays/issue-52937.jl	4	vanilla	3	9446880080
multithreaded	big_arrays/issue-52937.jl	4	regions	3	9507682615
serial	append/append.jl	1	regions	4	779435705
serial	linked/tree.jl	1	vanilla	4	8758978351
serial	linked/tree.jl	1	regions	4	8820404937
serial	strings/strings.jl	1	vanilla	4	18533436616
serial	strings/strings.jl	1	regions	4	18336022940
serial	bigint/pollard.jl	1	vanilla	4	649016145
serial	bigint/pollard.jl	1	regions	4	726639134
serial	big_arrays/single_ref.jl	1	vanilla	4	272021788
serial	big_arrays/single_ref.jl	1	regions	4	274079390
serial	big_arrays/many_refs.jl	1	vanilla	4	1733765910
serial	big_arrays/many_refs.jl	1	regions	4	1771211237
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	4	1663300123
