# binary	round	threads	gcthreads	collection	wall_ms	mark_ms	sweep_ms	safepoint_us	live_mb
vanilla	1	1	1	1	51.793	47.678	4.093	3.135	55.1
vanilla	1	1	1	2	41.255	37.059	4.168	10.62	55.1
vanilla	1	1	1	3	39.308	35.505	3.784	3.907	55.1
vanilla	1	1	1	4	39.077	35.243	3.815	3.055	55.1
vanilla	1	1	1	5	39.019	35.207	3.792	3.436	55.1
vanilla	1	1	1	6	39.067	35.177	3.87	3.236	55.1
vanilla	1	1	1	7	38.716	35.004	3.691	3.998	55.1
vanilla	1	1	1	8	39.012	35.136	3.852	4.589	55.1
vanilla	1	1	1	9	39.051	35.298	3.731	4.328	55.1
vanilla	1	1	1	10	38.715	35.049	3.644	4.168	55.1
vanilla	1	1	1	11	39.254	35.412	3.821	4.077	55.1
vanilla	1	1	1	12	38.774	35.013	3.738	4.538	55.1
regions	1	1	1	1	52.854	48.674	4.159	3.206	55.1
regions	1	1	1	2	42.215	37.7	4.477	10.971	55.1
regions	1	1	1	3	40.455	36.529	3.901	3.878	55.1
regions	1	1	1	4	40.204	36.152	4.028	3.587	55.1
regions	1	1	1	5	39.764	35.826	3.915	3.958	55.1
regions	1	1	1	6	39.587	35.669	3.896	4.509	55.1
regions	1	1	1	7	39.664	35.904	3.738	4.268	55.1
regions	1	1	1	8	39.643	35.718	3.902	4.168	55.1
regions	1	1	1	9	39.578	35.791	3.763	4.478	55.1
regions	1	1	1	10	39.621	35.709	3.89	5.381	55.1
regions	1	1	1	11	39.704	35.857	3.823	4.448	55.1
regions	1	1	1	12	39.546	35.692	3.832	4.919	55.1
vanilla	1	4	2	1	55.909	48.579	7.291	8.516	151.1
vanilla	1	4	2	2	57.679	50.164	7.471	13.356	151.1
vanilla	1	4	2	3	56.44	48.901	7.508	6.222	151.1
vanilla	1	4	2	4	56.317	48.841	7.448	5.6	151.1
vanilla	1	4	2	5	56.221	48.729	7.463	5.25	151.1
vanilla	1	4	2	6	56.204	48.729	7.445	6.472	151.1
vanilla	1	4	2	7	56.304	48.839	7.436	6.201	151.1
vanilla	1	4	2	8	56.442	48.999	7.415	6.763	151.1
vanilla	1	4	2	9	56.235	48.761	7.442	6.682	151.1
vanilla	1	4	2	10	56.41	48.937	7.441	6.793	151.1
vanilla	1	4	2	11	56.337	48.873	7.436	6.622	151.1
vanilla	1	4	2	12	56.291	48.832	7.427	9.497	151.1
regions	1	4	2	1	57.583	49.81	7.742	8.225	151.1
regions	1	4	2	2	58.303	50.371	7.884	14.467	151.1
regions	1	4	2	3	57.508	49.661	7.817	5.019	151.1
regions	1	4	2	4	57.458	49.659	7.769	4.719	151.1
regions	1	4	2	5	57.465	49.654	7.782	5.942	151.1
regions	1	4	2	6	57.413	49.607	7.775	6.563	151.1
regions	1	4	2	7	57.413	49.616	7.765	6.312	151.1
regions	1	4	2	8	57.453	49.646	7.776	6.072	151.1
regions	1	4	2	9	57.342	49.528	7.783	6.863	151.1
regions	1	4	2	10	57.541	49.702	7.807	6.342	151.1
regions	1	4	2	11	57.705	49.851	7.824	5.72	151.1
regions	1	4	2	12	57.764	49.91	7.824	6.572	151.1
vanilla	1	8	4	1	75.528	65.576	9.909	12.273	279.1
vanilla	1	8	4	2	59.167	49.387	9.727	15.99	279.2
vanilla	1	8	4	3	56.436	46.617	9.77	6.753	279.2
vanilla	1	8	4	4	56.12	46.335	9.743	7.635	279.2
vanilla	1	8	4	5	56.126	46.313	9.776	6.142	279.2
vanilla	1	8	4	6	55.82	45.972	9.811	7.304	279.2
vanilla	1	8	4	7	60.354	50.18	10.139	7.545	279.2
vanilla	1	8	4	8	72.543	62.34	10.159	6.933	279.2
vanilla	1	8	4	9	56.125	46.044	10.038	7.254	279.2
vanilla	1	8	4	10	56.309	46.119	10.15	8.316	279.2
vanilla	1	8	4	11	56.455	46.495	9.921	7.153	279.2
vanilla	1	8	4	12	58.011	47.933	10.023	7.293	279.2
regions	1	8	4	1	79.572	68.923	10.588	35.758	279.1
regions	1	8	4	2	60.21	49.507	10.663	6.742	279.2
regions	1	8	4	3	59.502	48.808	10.661	6.993	279.2
regions	1	8	4	4	58.949	48.32	10.601	6.022	279.2
regions	1	8	4	5	57.534	46.741	10.761	4.759	279.2
regions	1	8	4	6	60.296	49.472	10.793	7.344	279.2
regions	1	8	4	7	61.447	50.672	10.749	6.031	279.2
regions	1	8	4	8	78.958	67.907	11.026	5.901	279.2
regions	1	8	4	9	69.854	58.768	11.058	5.841	279.2
regions	1	8	4	10	58.462	47.502	10.929	6.432	279.2
regions	1	8	4	11	62.085	51.195	10.856	5.69	279.2
regions	1	8	4	12	60.631	49.469	11.114	22.071	279.2
vanilla	1	16	8	1	81.39	65.934	15.407	20.619	535.2
vanilla	1	16	8	2	68.062	52.684	15.331	8.987	535.2
vanilla	1	16	8	3	70.098	54.747	15.306	5.611	535.2
vanilla	1	16	8	4	67.771	52.437	15.293	7.835	535.2
vanilla	1	16	8	5	71.824	56.547	15.235	6.562	535.2
vanilla	1	16	8	6	67.155	51.671	15.448	5.901	535.2
vanilla	1	16	8	7	64.641	48.97	15.63	7.094	535.2
vanilla	1	16	8	8	65.119	48.852	16.227	7.133	535.2
vanilla	1	16	8	9	65.391	49.299	16.049	6.903	535.2
vanilla	1	16	8	10	66.412	50.362	16.01	6.752	535.2
vanilla	1	16	8	11	67.66	50.975	16.111	540.861	535.2
vanilla	1	16	8	12	65.909	50.292	15.581	5.25	535.2
regions	1	16	8	1	76.702	60.171	16.455	39.695	535.2
regions	1	16	8	2	72.047	55.524	16.472	8.887	535.2
regions	1	16	8	3	68.07	51.244	16.785	6.642	535.2
regions	1	16	8	4	75.618	59.283	16.294	6.723	535.2
regions	1	16	8	5	67.727	51.025	16.66	6.452	535.2
regions	1	16	8	6	71.996	55.87	16.086	6.041	535.2
regions	1	16	8	7	64.068	47.278	16.749	7.825	535.2
regions	1	16	8	8	67.532	50.636	16.855	7.775	535.2
regions	1	16	8	9	66.759	50.364	16.354	6.853	535.2
regions	1	16	8	10	67.833	50.949	16.83	7.094	535.2
regions	1	16	8	11	67.775	50.675	16.76	309.174	535.2
regions	1	16	8	12	65.729	49.313	16.379	4.999	535.2
vanilla	1	30	15	1	95.622	72.148	23.298	36.479	983.3
vanilla	1	30	15	2	80.512	57.316	23.133	8.857	983.3
vanilla	1	30	15	3	75.986	52.825	23.108	8.276	983.3
vanilla	1	30	15	4	79.66	56.401	23.209	7.063	983.3
vanilla	1	30	15	5	77.339	54.116	23.167	12.234	983.3
vanilla	1	30	15	6	80.342	57.117	23.174	7.875	983.3
vanilla	1	30	15	7	77.742	54.508	23.186	7.424	983.3
vanilla	1	30	15	8	76.306	52.847	23.406	8.186	983.3
vanilla	1	30	15	9	78.272	55.003	23.199	25.067	983.3
vanilla	1	30	15	10	75.972	52.589	23.329	8.155	983.3
vanilla	1	30	15	11	77.145	53.767	23.321	7.284	983.3
vanilla	1	30	15	12	77.548	54.248	23.247	7.865	983.3
regions	1	30	15	1	101.978	77.037	24.771	36.779	983.3
regions	1	30	15	2	82.216	57.699	24.455	9.217	983.3
regions	1	30	15	3	86.293	61.807	24.41	7.063	983.3
regions	1	30	15	4	84.216	59.695	24.463	7.554	983.3
regions	1	30	15	5	81.343	56.867	24.425	7.284	983.3
regions	1	30	15	6	77.999	53.119	24.823	7.283	983.3
regions	1	30	15	7	83.688	59.074	24.554	7.093	983.3
regions	1	30	15	8	85.05	60.437	24.542	25.327	983.3
regions	1	30	15	9	83.151	58.386	24.696	7.143	983.3
regions	1	30	15	10	90.517	65.749	24.717	7.594	983.3
regions	1	30	15	11	85.137	60.304	24.78	6.373	983.3
regions	1	30	15	12	84.451	59.591	24.807	6.622	983.3
regions	2	1	1	1	52.606	48.397	4.186	3.206	55.1
regions	2	1	1	2	41.639	37.394	4.2	15.79	55.1
regions	2	1	1	3	40.027	36.047	3.951	4.329	55.1
regions	2	1	1	4	40.208	36.151	4.032	4.088	55.1
regions	2	1	1	5	39.968	36.038	3.902	5.571	55.1
regions	2	1	1	6	40.066	36.137	3.91	5.42	55.1
regions	2	1	1	7	41.134	36.898	4.213	2.815	55.1
regions	2	1	1	8	41.341	36.92	4.396	4.228	55.1
regions	2	1	1	9	40.281	36.16	4.093	4.218	55.1
regions	2	1	1	10	40.348	36.155	4.167	3.717	55.1
regions	2	1	1	11	39.723	35.848	3.851	3.737	55.1
regions	2	1	1	12	39.706	35.864	3.815	4.759	55.1
vanilla	2	1	1	1	51.344	47.349	3.971	4.188	55.1
vanilla	2	1	1	2	40.973	36.783	4.156	9.608	55.1
vanilla	2	1	1	3	39.564	35.562	3.973	7.374	55.1
vanilla	2	1	1	4	39.517	35.372	4.121	3.898	55.1
vanilla	2	1	1	5	39.249	35.454	3.772	4.438	55.1
vanilla	2	1	1	6	39.353	35.481	3.85	5.099	55.1
vanilla	2	1	1	7	39.027	35.233	3.773	5.2	55.1
