# round	mode	threads	workers	kind	index	value_us	collections
1	checked	1	0	reset	1	37.751	0
1	checked	1	0	reset	2	29.015	0
1	checked	1	0	reset	3	27.201	0
1	checked	1	0	reset	4	27.422	0
1	checked	1	0	reset	5	26.78	0
1	checked	1	0	reset	6	26.57	0
1	checked	1	0	reset	7	26.931	0
1	checked	1	0	reset	8	30.588	0
1	checked	1	0	reset	9	28.313	0
1	checked	1	0	reset	10	26.55	0
1	checked	1	0	reset	11	26.951	0
1	checked	1	0	reset	12	26.54	0
1	checked	1	0	reset	13	27.331	0
1	checked	1	0	reset	14	27.011	0
1	checked	1	0	reset	15	27.142	0
1	checked	1	0	reset	16	26.81	0
1	checked	1	0	reset	17	27.302	0
1	checked	1	0	reset	18	26.49	0
1	checked	1	0	reset	19	27.512	0
1	checked	1	0	reset	20	27.812	0
1	checked	1	0	reset	21	27.683	0
1	checked	1	0	reset	22	27.03	0
1	checked	1	0	reset	23	27.442	0
1	checked	1	0	reset	24	27.171	0
1	checked	1	0	reset	25	31.129	0
1	checked	1	0	reset	26	27.702	0
1	checked	1	0	reset	27	27.252	0
1	checked	1	0	reset	28	27.622	0
1	checked	1	0	reset	29	27.592	0
1	checked	1	0	reset	30	27.412	0
1	checked	1	0	reset	31	27.623	0
1	checked	1	0	reset	32	27.192	0
1	checked	1	0	reset	33	27.843	0
1	checked	1	0	reset	34	27.542	0
1	checked	1	0	reset	35	27.421	0
1	checked	1	0	reset	36	26.65	0
1	checked	1	0	reset	37	27.331	0
1	checked	1	0	reset	38	27.521	0
1	checked	1	0	reset	39	27.592	0
1	checked	1	0	reset	40	27.252	0
1	checked	1	0	reset	41	27.502	0
1	checked	1	0	reset	42	27.903	0
1	checked	1	0	reset	43	27.031	0
1	checked	1	0	reset	44	26.71	0
1	checked	1	0	reset	45	27.341	0
1	checked	1	0	reset	46	27.612	0
1	checked	1	0	reset	47	27.723	0
1	checked	1	0	reset	48	26.951	0
1	checked	1	0	reset	49	27.422	0
1	checked	1	0	reset	50	27.081	0
1	checked	1	0	reset	51	27.492	0
1	checked	1	0	reset	52	28.123	0
1	checked	1	0	reset	53	27.622	0
1	checked	1	0	reset	54	28.274	0
1	checked	1	0	reset	55	28.133	0
1	checked	1	0	reset	56	27.231	0
1	checked	1	0	reset	57	27.812	0
1	checked	1	0	reset	58	27.321	0
1	checked	1	0	reset	59	27.883	0
1	checked	1	0	reset	60	27.752	0
1	checked	1	0	reset	61	27.853	0
1	checked	1	0	reset	62	27.191	0
1	checked	1	0	reset	63	28.484	0
1	checked	1	0	reset	64	26.651	0
1	checked	1	0	reset	65	27.321	0
1	checked	1	0	reset	66	26.91	0
1	checked	1	0	reset	67	29.776	0
1	checked	1	0	reset	68	26.53	0
1	checked	1	0	reset	69	27.442	0
1	checked	1	0	reset	70	26.731	0
1	checked	1	0	reset	71	27.061	0
1	checked	1	0	reset	72	26.9	0
1	checked	1	0	reset	73	27.072	0
1	checked	1	0	reset	74	26.8	0
1	checked	1	0	reset	75	27.071	0
1	checked	1	0	reset	76	26.8	0
1	checked	1	0	reset	77	27.051	0
1	checked	1	0	reset	78	26.5	0
1	checked	1	0	reset	79	26.931	0
1	checked	1	0	reset	80	26.881	0
1	checked	1	0	reset	81	27.102	0
