# showcase	mode	param	wall_s	collections	gc_ms	peak_rss_mb
binarytree	stock	18	0.379739525	31	82.259887	267.24352
linkedlist	stock	64	2.238246698	10	1708.650015	2382.97088
binarytree	region	18	0.266820765	0	0.0	292.4544
linkedlist	region	64	0.541499324	0	0.0	2412.834816
tree	tree	3	0.004449112000000001	0	0.0	NA
tree	stock	3	0.007257761000000001	6	0.836319	NA
binarytree	stock	18	0.36054619	31	81.244213	266.26048
linkedlist	stock	64	2.234288741	10	1708.050427	2382.163968
binarytree	region	18	0.274582957	0	0.0	266.99776
linkedlist	region	64	0.540755901	0	0.0	2391.38816
tree	tree	3	0.004687132	0	0.0	NA
tree	stock	3	0.0076462430000000005	6	0.834393	NA
binarytree	stock	18	0.364785658	31	80.663825	266.641408
linkedlist	stock	64	2.234330961	10	1710.36375	2382.37696
binarytree	region	18	0.263357192	0	0.0	266.932224
linkedlist	region	64	0.531868877	0	0.0	2390.863872
tree	tree	3	0.0047045640000000005	0	0.0	NA
tree	stock	3	0.007212916	6	0.818144	NA
