# binary	round	cost	value	unit	samples
vanilla	1	store_disarmed	0.3322	ns/store	0.4048,0.404,0.3323,0.3339,0.4054,0.4054,0.3322,0.3334
vanilla	1	construct_two	7.209	ns/object	7.209,7.29,7.257,7.33,7.282,7.251,7.332,7.289
vanilla	1	construct_shared	3.427	ns/object	3.427,3.467,3.503,3.461,3.507,3.499,3.462,3.485
vanilla	1	box_twin	3.775	ns/object	3.815,3.794,3.878,3.842,3.8,3.873,3.776,3.775
vanilla	1	alloc_stock	2.011	ns/object	2.069,2.221,2.203,2.011,2.081,2.231,2.187,2.017
vanilla	1	finalizer_register	2.226	ns/object	
vanilla	1	stock_mark	65.15	ms/collection	
regions_stock	1	store_disarmed	0.3307	ns/store	0.4043,0.4033,0.3309,0.3333,0.4038,0.4039,0.3307,0.3341
regions_stock	1	construct_two	7.628	ns/object	7.782,7.659,7.628,7.779,7.686,7.697,7.679,7.795
regions_stock	1	construct_shared	3.568	ns/object	3.666,3.624,3.599,3.625,3.62,3.587,3.568,3.582
regions_stock	1	box_twin	3.924	ns/object	3.934,3.925,3.947,3.968,3.924,3.977,3.94,3.973
regions_stock	1	alloc_stock	2.142	ns/object	2.142,2.151,2.15,2.152,2.147,2.15,2.149,2.145
regions_stock	1	finalizer_register	2.242	ns/object	
regions_stock	1	stock_mark	66.27	ms/collection	
regions	1	store_disarmed	0.3337	ns/store	0.4079,0.4081,0.3352,0.3438,0.4074,0.4068,0.3337,0.3337
regions	1	store_armed	0.3389	ns/store	0.4036,0.4052,0.34,0.3395,0.404,0.4038,0.3389,0.3418
regions	1	store_armed_const	0.1559	ns/store	0.1562,0.156,0.156,0.156,0.156,0.1561,0.1559,0.156
regions	1	store_region	0.3313	ns/store	0.4048,0.404,0.3313,0.3334,0.3952,0.4054,0.3319,0.3661
regions	1	window_pair	11.68	ns/pair	
regions	1	switch_pair	6.304	ns/pair	
regions	1	construct_two	7.557	ns/object	7.617,7.628,7.557,7.601,7.611,7.711,7.786,7.656
regions	1	construct_shared	3.532	ns/object	3.532,3.593,3.599,3.596,3.57,3.619,3.585,3.612
regions	1	box_twin	3.882	ns/object	3.882,3.935,3.951,4.066,3.937,3.991,3.969,3.939
regions	1	alloc_stock	2.14	ns/object	2.152,2.151,2.145,2.151,2.14,2.146,2.153,2.146
regions	1	finalizer_register	2.327	ns/object	
regions	1	alloc_region	2.057	ns/object	2.057,2.069,2.066,2.06,2.063,2.071,2.062,2.063
regions	1	reset_slice	30.0	ns/reset	
regions	1	reset_slice_checked	3115.0	ns/reset	
regions	1	stock_mark	65.88	ms/collection	
regions	2	store_disarmed	0.3326	ns/store	0.4056,0.4056,0.3338,0.3336,0.4055,0.4053,0.3326,0.3332
regions	2	store_armed	0.3321	ns/store	0.4036,0.4042,0.3321,0.3331,0.4053,0.4052,0.3332,0.3507
regions	2	store_armed_const	0.1559	ns/store	0.1561,0.1561,0.1559,0.1559,0.1563,0.1561,0.156,0.156
regions	2	store_region	0.3328	ns/store	0.4058,0.4052,0.3335,0.3328,0.3947,0.4052,0.3329,0.3335
regions	2	window_pair	11.65	ns/pair	
regions	2	switch_pair	6.292	ns/pair	
regions	2	construct_two	7.574	ns/object	7.733,7.624,7.7,7.728,7.604,7.62,7.638,7.574
regions	2	construct_shared	3.499	ns/object	3.519,3.499,3.527,3.516,3.55,3.558,3.557,3.555
regions	2	box_twin	3.809	ns/object	3.883,3.831,3.843,3.832,3.822,3.821,3.809,3.816
regions	2	alloc_stock	2.194	ns/object	2.198,2.2,2.205,2.194,2.196,2.197,2.195,2.198
regions	2	finalizer_register	3.004	ns/object	
regions	2	alloc_region	2.016	ns/object	2.016,2.039,2.028,2.019,2.02,2.045,2.03,2.02
regions	2	reset_slice	30.0	ns/reset	
regions	2	reset_slice_checked	3045.0	ns/reset	
regions	2	stock_mark	67.14	ms/collection	
regions_stock	2	store_disarmed	0.3319	ns/store	0.403,0.4039,0.3323,0.3331,0.406,0.4049,0.3319,0.3333
regions_stock	2	construct_two	7.476	ns/object	7.476,7.525,7.578,7.556,7.764,7.634,7.62,7.692
regions_stock	2	construct_shared	3.576	ns/object	3.596,3.591,3.576,3.583,3.636,3.736,3.624,3.589
regions_stock	2	box_twin	3.913	ns/object	3.985,3.951,3.951,3.964,3.942,3.913,3.923,3.962
regions_stock	2	alloc_stock	2.136	ns/object	2.15,2.145,2.143,2.141,2.137,2.142,2.137,2.136
regions_stock	2	finalizer_register	2.199	ns/object	
regions_stock	2	stock_mark	65.84	ms/collection	
vanilla	2	store_disarmed	0.3322	ns/store	0.4051,0.4041,0.3322,0.3408,0.4055,0.4048,0.3327,0.3329
vanilla	2	construct_two	7.175	ns/object	7.175,7.341,7.242,7.293,7.236,7.398,7.284,7.65
vanilla	2	construct_shared	3.429	ns/object	3.436,3.46,3.429,3.444,3.456,3.45,3.501,3.513
vanilla	2	box_twin	3.765	ns/object	3.765,3.848,3.781,3.852,3.878,3.833,3.856,3.844
vanilla	2	alloc_stock	2.036	ns/object	2.096,2.266,2.19,2.038,2.092,2.245,2.191,2.036
vanilla	2	finalizer_register	2.212	ns/object	
vanilla	2	stock_mark	64.84	ms/collection	
vanilla	3	store_disarmed	0.3335	ns/store	0.4093,0.4081,0.3349,0.3353,0.4079,0.4073,0.3335,0.334
vanilla	3	construct_two	7.137	ns/object	7.137,7.464,7.356,7.663,7.336,7.32,7.317,7.326
vanilla	3	construct_shared	3.419	ns/object	3.419,3.779,3.777,3.756,3.76,3.826,3.811,3.842
vanilla	3	box_twin	3.771	ns/object	3.771,4.158,4.149,4.145,4.203,4.157,4.182,4.207
vanilla	3	alloc_stock	2.028	ns/object	2.109,2.241,2.22,2.028,2.094,2.252,2.253,2.04
vanilla	3	finalizer_register	2.208	ns/object	
vanilla	3	stock_mark	64.36	ms/collection	
regions_stock	3	store_disarmed	0.332	ns/store	0.4038,0.4043,0.332,0.3333,0.4055,0.4048,0.3322,0.3339
regions_stock	3	construct_two	7.521	ns/object	7.521,7.616,7.673,7.579,7.596,7.619,7.581,7.593
regions_stock	3	construct_shared	3.542	ns/object	3.568,3.561,3.559,3.56,3.571,3.542,3.58,3.575
regions_stock	3	box_twin	3.865	ns/object	4.03,3.865,3.957,3.932,3.903,3.881,3.939,3.943
regions_stock	3	alloc_stock	2.141	ns/object	2.149,2.152,2.16,2.141,2.146,2.147,2.144,2.141
regions_stock	3	finalizer_register	2.298	ns/object	
regions_stock	3	stock_mark	66.58	ms/collection	
regions	3	store_disarmed	0.3319	ns/store	0.4033,0.4043,0.332,0.3333,0.4051,0.405,0.3319,0.333
regions	3	store_armed	0.3324	ns/store	0.4037,0.4039,0.3324,0.3332,0.4051,0.4053,0.3326,0.3342
regions	3	store_armed_const	0.1559	ns/store	0.1561,0.156,0.1561,0.156,0.1559,0.156,0.156,0.156
regions	3	store_region	0.3332	ns/store	0.4046,0.4054,0.3332,0.3332,0.4052,0.4053,0.3341,0.3344
regions	3	window_pair	11.65	ns/pair	
regions	3	switch_pair	6.692	ns/pair	
regions	3	construct_two	7.57	ns/object	7.657,7.57,7.596,7.739,7.758,7.673,7.678,7.728
regions	3	construct_shared	3.557	ns/object	3.557,3.565,3.625,3.588,3.607,3.616,3.598,3.61
regions	3	box_twin	3.869	ns/object	3.909,3.956,3.891,3.869,3.952,3.872,3.908,3.9
regions	3	alloc_stock	2.142	ns/object	2.149,2.156,2.144,2.142,2.144,2.146,2.147,2.144
regions	3	finalizer_register	2.287	ns/object	
regions	3	alloc_region	2.062	ns/object	2.062,2.075,2.071,2.072,2.072,2.081,2.075,2.071
regions	3	reset_slice	30.0	ns/reset	
regions	3	reset_slice_checked	3036.0	ns/reset	
regions	3	stock_mark	67.86	ms/collection	
regions	4	store_disarmed	0.3452	ns/store	0.4263,0.4256,0.349,0.3495,0.4237,0.4215,0.3452,0.3459
regions	4	store_armed	0.3355	ns/store	0.4122,0.4118,0.3382,0.3395,0.4106,0.4095,0.3355,0.3537
regions	4	store_armed_const	0.1566	ns/store	0.1574,0.1571,0.157,0.157,0.1568,0.1573,0.1568,0.1566
regions	4	store_region	0.3321	ns/store	0.4057,0.4063,0.3935,0.3321,0.4056,0.4052,0.3331,0.3363
regions	4	window_pair	11.65	ns/pair	
regions	4	switch_pair	6.293	ns/pair	
regions	4	construct_two	7.584	ns/object	7.604,7.593,7.584,7.625,7.63,7.673,7.664,7.68
regions	4	construct_shared	3.558	ns/object	3.575,3.558,3.569,3.663,3.574,3.604,3.578,3.562
regions	4	box_twin	3.904	ns/object	3.919,3.937,3.904,3.931,3.909,3.925,3.914,3.92
regions	4	alloc_stock	2.144	ns/object	2.148,2.152,2.148,2.149,2.144,2.215,2.152,2.147
regions	4	finalizer_register	2.242	ns/object	
regions	4	alloc_region	2.004	ns/object	2.004,2.037,2.021,2.018,2.013,2.079,2.022,2.014
regions	4	reset_slice	40.0	ns/reset	
regions	4	reset_slice_checked	3096.0	ns/reset	
regions	4	stock_mark	68.28	ms/collection	
regions_stock	4	store_disarmed	0.3334	ns/store	0.4034,0.4042,0.3334,0.3358,0.4052,0.4048,0.3423,0.3339
regions_stock	4	construct_two	7.558	ns/object	7.558,7.785,7.862,7.711,7.613,7.62,7.667,7.708
regions_stock	4	construct_shared	3.584	ns/object	3.802,3.594,3.584,3.617,3.62,3.612,3.689,3.614
regions_stock	4	box_twin	3.877	ns/object	4.022,3.946,3.952,3.926,3.912,3.94,3.924,3.877
regions_stock	4	alloc_stock	2.132	ns/object	2.146,2.132,2.138,2.139,2.132,2.133,5.363,2.136
regions_stock	4	finalizer_register	2.216	ns/object	
regions_stock	4	stock_mark	66.14	ms/collection	
vanilla	4	store_disarmed	0.3322	ns/store	0.4033,0.4042,0.3322,0.3412,0.4054,0.4049,0.3323,0.3334
vanilla	4	construct_two	7.184	ns/object	7.26,7.276,7.349,7.27,7.184,7.243,7.215,8.043
vanilla	4	construct_shared	3.444	ns/object	3.457,3.444,3.444,3.504,3.454,3.509,3.515,3.452
vanilla	4	box_twin	3.748	ns/object	3.769,3.755,3.779,3.777,3.76,3.778,3.748,3.832
vanilla	4	alloc_stock	2.006	ns/object	2.082,2.222,2.196,2.011,2.073,2.25,2.199,2.006
vanilla	4	finalizer_register	2.191	ns/object	
vanilla	4	stock_mark	64.62	ms/collection	
vanilla	5	store_disarmed	0.3336	ns/store	0.4031,0.4038,0.3336,0.3354,0.4056,0.4053,0.3339,0.3352
vanilla	5	construct_two	7.193	ns/object	7.193,7.985,8.327,7.942,8.018,8.114,7.994,7.951
vanilla	5	construct_shared	3.479	ns/object	3.479,5.67,5.694,5.669,5.657,5.707,5.7,5.689
vanilla	5	box_twin	3.806	ns/object	3.806,6.084,6.071,6.07,6.093,6.078,6.066,6.079
vanilla	5	alloc_stock	2.015	ns/object	2.069,2.22,2.189,2.024,2.088,2.244,2.196,2.015
vanilla	5	finalizer_register	2.245	ns/object	
vanilla	5	stock_mark	64.51	ms/collection	
regions_stock	5	store_disarmed	0.3318	ns/store	0.4036,0.4037,0.3318,0.3332,0.4049,0.4047,0.3319,0.333
regions_stock	5	construct_two	7.552	ns/object	7.717,7.627,7.552,7.63,7.552,7.593,7.565,7.571
regions_stock	5	construct_shared	3.564	ns/object	3.631,3.57,3.564,3.567,3.566,3.737,3.598,3.636
regions_stock	5	box_twin	3.871	ns/object	3.908,3.885,3.895,3.871,3.898,3.879,3.874,3.908
regions_stock	5	alloc_stock	2.9	ns/object	2.996,3.008,3.143,2.933,3.055,2.9,3.129,3.06
regions_stock	5	finalizer_register	2.234	ns/object	
regions_stock	5	stock_mark	65.64	ms/collection	
regions	5	store_disarmed	0.3338	ns/store	0.4032,0.4039,0.3339,0.3341,0.4053,0.4049,0.3338,0.3344
regions	5	store_armed	0.3319	ns/store	0.4037,0.4038,0.3323,0.3332,0.4047,0.4047,0.3319,0.3326
regions	5	store_armed_const	0.1558	ns/store	0.1559,0.1559,0.1559,0.156,0.1559,0.1559,0.1558,0.1559
regions	5	store_region	0.3324	ns/store	0.4044,0.4052,0.3324,0.3331,0.4051,0.4051,0.3328,0.3334
regions	5	window_pair	11.64	ns/pair	
regions	5	switch_pair	6.682	ns/pair	
regions	5	construct_two	7.57	ns/object	7.643,7.57,7.743,7.757,7.771,7.581,7.756,7.815
regions	5	construct_shared	3.517	ns/object	3.574,3.517,3.536,3.562,3.546,3.54,3.55,3.571
regions	5	box_twin	3.859	ns/object	3.859,3.892,3.872,3.887,3.877,3.88,3.868,5.096
regions	5	alloc_stock	2.148	ns/object	2.177,2.176,2.173,2.153,2.157,2.161,2.155,2.148
regions	5	finalizer_register	2.257	ns/object	
regions	5	alloc_region	2.007	ns/object	2.008,2.036,2.021,2.01,2.007,2.034,2.015,2.01
regions	5	reset_slice	30.0	ns/reset	
regions	5	reset_slice_checked	3046.0	ns/reset	
regions	5	stock_mark	66.89	ms/collection	
regions	6	store_disarmed	0.3333	ns/store	0.4079,0.4089,0.3349,0.3353,0.4078,0.4069,0.3333,0.3603
regions	6	store_armed	0.3325	ns/store	0.4037,0.4041,0.3332,0.3956,0.4048,0.4047,0.3325,0.3413
regions	6	store_armed_const	0.1559	ns/store	0.156,0.156,0.1559,0.156,0.1559,0.1559,0.1559,0.1559
regions	6	store_region	0.3327	ns/store	0.4037,0.4052,0.3334,0.3334,0.399,0.4053,0.3327,0.3422
regions	6	window_pair	11.65	ns/pair	
regions	6	switch_pair	6.575	ns/pair	
regions	6	construct_two	7.604	ns/object	7.63,7.604,7.65,7.665,7.839,7.742,7.657,7.706
regions	6	construct_shared	3.521	ns/object	3.521,3.536,3.538,3.531,3.556,3.595,3.552,3.532
regions	6	box_twin	3.873	ns/object	3.873,3.899,3.891,3.885,3.894,3.878,3.88,3.91
regions	6	alloc_stock	2.151	ns/object	2.16,2.166,2.166,2.151,2.152,2.156,2.156,2.153
regions	6	finalizer_register	2.213	ns/object	
regions	6	alloc_region	2.008	ns/object	2.008,2.038,2.031,2.02,2.019,2.049,2.025,2.017
regions	6	reset_slice	30.0	ns/reset	
regions	6	reset_slice_checked	3116.0	ns/reset	
regions	6	stock_mark	67.06	ms/collection	
regions_stock	6	store_disarmed	0.3398	ns/store	0.4034,0.4043,0.3404,0.3414,0.4055,0.4054,0.3403,0.3398
regions_stock	6	construct_two	7.547	ns/object	7.547,7.667,7.583,7.657,7.639,7.687,7.655,7.654
regions_stock	6	construct_shared	3.568	ns/object	3.598,3.568,3.583,3.594,3.595,3.651,3.624,3.616
regions_stock	6	box_twin	3.915	ns/object	3.964,3.915,3.931,3.929,3.921,3.931,3.919,3.949
regions_stock	6	alloc_stock	2.143	ns/object	2.144,2.151,2.15,2.146,2.143,2.157,2.154,2.164
regions_stock	6	finalizer_register	2.24	ns/object	
regions_stock	6	stock_mark	65.78	ms/collection	
vanilla	6	store_disarmed	0.3318	ns/store	0.4039,0.4046,0.3329,0.3339,0.4053,0.4053,0.3318,0.334
vanilla	6	construct_two	7.195	ns/object	7.214,7.202,7.2,7.195,7.231,7.276,7.222,7.241
vanilla	6	construct_shared	3.438	ns/object	3.47,3.438,3.44,3.482,3.463,3.473,3.491,3.454
vanilla	6	box_twin	3.763	ns/object	3.793,3.766,3.798,3.801,3.782,3.763,3.796,3.788
vanilla	6	alloc_stock	2.013	ns/object	2.092,2.234,2.197,2.013,2.086,2.231,2.2,2.021
vanilla	6	finalizer_register	2.141	ns/object	
vanilla	6	stock_mark	64.94	ms/collection	
vanilla	7	store_disarmed	0.3323	ns/store	0.4034,0.4041,0.3323,0.3421,0.4056,0.4052,0.3325,0.3332
vanilla	7	construct_two	7.198	ns/object	7.198,7.457,7.276,7.218,7.231,7.365,7.292,7.259
vanilla	7	construct_shared	3.446	ns/object	3.467,3.446,3.485,3.516,3.462,3.495,3.505,3.52
vanilla	7	box_twin	3.775	ns/object	3.846,3.85,3.886,3.791,3.818,3.777,3.801,3.775
vanilla	7	alloc_stock	2.036	ns/object	2.111,2.243,2.217,2.036,2.109,2.248,2.234,2.048
vanilla	7	finalizer_register	2.517	ns/object	
vanilla	7	stock_mark	65.49	ms/collection	
regions_stock	7	store_disarmed	0.3325	ns/store	0.4051,0.4041,0.3327,0.3379,0.4052,0.4052,0.3325,0.3328
regions_stock	7	construct_two	7.604	ns/object	7.934,7.755,7.636,7.656,7.765,7.667,7.604,7.688
regions_stock	7	construct_shared	3.611	ns/object	3.72,3.642,3.638,3.611,3.625,3.654,3.649,3.669
regions_stock	7	box_twin	3.972	ns/object	4.011,3.972,3.986,3.988,4.014,4.013,4.022,3.985
regions_stock	7	alloc_stock	3.129	ns/object	3.138,3.165,3.156,3.137,3.144,3.13,3.139,3.129
regions_stock	7	finalizer_register	2.22	ns/object	
regions_stock	7	stock_mark	65.85	ms/collection	
regions	7	store_disarmed	0.333	ns/store	0.4045,0.4037,0.333,0.335,0.4054,0.4047,0.3335,0.3843
regions	7	store_armed	0.3322	ns/store	0.4034,0.4048,0.3322,0.3331,0.405,0.4051,0.47,0.3622
regions	7	store_armed_const	0.1558	ns/store	0.156,0.1559,0.1559,0.156,0.1559,0.1559,0.1558,0.1558
regions	7	store_region	0.3324	ns/store	0.4039,0.4052,0.3324,0.3332,0.3944,0.4052,0.3332,0.3352
regions	7	window_pair	11.64	ns/pair	
regions	7	switch_pair	6.294	ns/pair	
regions	7	construct_two	7.659	ns/object	7.659,7.815,7.7,7.746,7.78,7.819,7.703,7.777
regions	7	construct_shared	3.535	ns/object	3.535,3.683,3.68,3.685,3.686,3.732,3.71,3.711
regions	7	box_twin	3.902	ns/object	3.902,4.443,4.402,4.42,4.417,4.428,4.448,4.495
regions	7	alloc_stock	2.154	ns/object	4.016,2.154,2.156,2.163,2.16,2.156,2.165,2.158
regions	7	finalizer_register	2.245	ns/object	
regions	7	alloc_region	2.012	ns/object	3.774,2.035,2.023,2.015,2.012,2.037,2.025,2.013
regions	7	reset_slice	30.0	ns/reset	
regions	7	reset_slice_checked	3096.0	ns/reset	
regions	7	stock_mark	66.44	ms/collection	
regions	8	store_disarmed	0.3321	ns/store	0.4035,0.4041,0.3321,0.3334,0.4051,0.4052,0.3326,0.3333
regions	8	store_armed	0.3319	ns/store	0.4036,0.404,0.3319,0.3328,0.4053,0.4051,0.3321,0.3327
regions	8	store_armed_const	0.1559	ns/store	0.156,0.156,0.1559,0.1559,0.1559,0.156,0.156,0.1559
regions	8	store_region	0.3322	ns/store	0.4051,0.4051,0.3332,0.333,0.3943,0.405,0.3322,0.3336
regions	8	window_pair	11.65	ns/pair	
regions	8	switch_pair	6.29	ns/pair	
regions	8	construct_two	7.627	ns/object	7.65,7.645,7.627,7.711,7.95,7.771,7.662,7.728
regions	8	construct_shared	3.573	ns/object	3.583,3.573,3.596,3.628,3.612,3.61,3.633,3.619
regions	8	box_twin	3.913	ns/object	3.928,3.945,3.942,3.934,3.924,3.922,3.936,3.913
regions	8	alloc_stock	2.15	ns/object	2.151,2.158,2.152,2.152,2.156,2.165,2.154,2.15
regions	8	finalizer_register	2.232	ns/object	
regions	8	alloc_region	2.005	ns/object	2.005,2.035,2.013,2.014,2.01,2.042,2.018,2.009
regions	8	reset_slice	30.0	ns/reset	
regions	8	reset_slice_checked	3136.0	ns/reset	
regions	8	stock_mark	66.33	ms/collection	
regions_stock	8	store_disarmed	0.3323	ns/store	0.4032,0.404,0.3324,0.3328,0.4054,0.4052,0.3323,0.3416
regions_stock	8	construct_two	7.536	ns/object	7.536,7.728,7.699,7.64,7.661,7.682,7.616,7.653
regions_stock	8	construct_shared	3.546	ns/object	3.571,3.546,3.565,3.558,3.588,3.589,3.567,3.648
regions_stock	8	box_twin	3.886	ns/object	3.909,4.016,3.889,3.95,3.886,3.894,3.947,3.932
regions_stock	8	alloc_stock	2.143	ns/object	2.143,2.157,2.148,2.153,2.143,2.156,2.159,2.151
regions_stock	8	finalizer_register	2.27	ns/object	
regions_stock	8	stock_mark	67.35	ms/collection	
vanilla	8	store_disarmed	0.3324	ns/store	0.4035,0.404,0.3326,0.342,0.4051,0.4053,0.3324,0.3332
vanilla	8	construct_two	7.205	ns/object	7.205,7.929,7.986,7.926,7.975,8.016,8.088,8.067
vanilla	8	construct_shared	3.408	ns/object	3.408,3.482,3.451,3.452,3.468,3.472,3.517,3.529
vanilla	8	box_twin	3.786	ns/object	3.786,4.214,4.196,4.232,4.21,4.255,4.215,4.231
vanilla	8	alloc_stock	2.002	ns/object	2.059,2.215,2.172,2.003,2.061,2.198,2.169,2.002
vanilla	8	finalizer_register	2.184	ns/object	
vanilla	8	stock_mark	64.66	ms/collection	
vanilla	9	store_disarmed	0.3323	ns/store	0.4038,0.4041,0.3323,0.3329,0.4053,0.4048,0.3326,0.3324
vanilla	9	construct_two	7.356	ns/object	7.356,8.043,7.992,7.994,8.124,7.996,7.963,8.007
vanilla	9	construct_shared	3.449	ns/object	3.449,3.499,3.502,3.496,3.524,3.527,3.523,3.546
vanilla	9	box_twin	3.84	ns/object	3.84,4.222,4.249,4.271,4.306,4.261,4.29,4.267
vanilla	9	alloc_stock	2.006	ns/object	2.084,2.235,2.209,2.006,2.092,2.239,2.197,2.017
vanilla	9	finalizer_register	2.232	ns/object	
vanilla	9	stock_mark	64.12	ms/collection	
regions_stock	9	store_disarmed	0.3317	ns/store	0.4033,0.404,0.3317,0.3331,0.405,0.4049,0.3328,0.3341
regions_stock	9	construct_two	7.514	ns/object	7.514,7.563,7.571,7.558,7.548,7.582,7.572,7.591
regions_stock	9	construct_shared	3.564	ns/object	3.57,3.636,3.564,3.655,3.598,3.599,3.599,3.614
regions_stock	9	box_twin	3.886	ns/object	3.898,3.923,3.886,3.91,3.898,3.924,3.913,3.911
regions_stock	9	alloc_stock	2.139	ns/object	2.142,2.15,2.148,2.142,2.139,2.15,2.152,2.142
regions_stock	9	finalizer_register	2.285	ns/object	
regions_stock	9	stock_mark	65.92	ms/collection	
regions	9	store_disarmed	0.3319	ns/store	0.4031,0.404,0.3324,0.3325,0.4052,0.4048,0.3319,0.3468
regions	9	store_armed	0.3319	ns/store	0.4037,0.404,0.3322,0.3332,0.4059,0.4054,0.3319,0.3381
regions	9	store_armed_const	0.1559	ns/store	0.156,0.156,0.1559,0.156,0.1559,0.1559,0.1559,0.156
regions	9	store_region	0.3323	ns/store	0.4038,0.4051,0.3325,0.3335,0.4052,0.4051,0.3323,0.3427
regions	9	window_pair	11.65	ns/pair	
regions	9	switch_pair	6.291	ns/pair	
regions	9	construct_two	7.624	ns/object	7.656,7.624,7.65,7.632,7.669,7.652,7.726,7.739
regions	9	construct_shared	3.521	ns/object	3.521,3.555,3.545,3.54,3.543,3.56,3.554,3.554
regions	9	box_twin	3.872	ns/object	3.873,3.872,3.894,3.88,3.907,3.9,3.89,3.93
regions	9	alloc_stock	2.146	ns/object	2.151,2.157,2.153,2.146,2.147,2.151,2.151,2.147
regions	9	finalizer_register	2.248	ns/object	
regions	9	alloc_region	2.005	ns/object	2.007,2.031,2.018,2.01,2.007,2.031,2.019,2.005
regions	9	reset_slice	30.0	ns/reset	
regions	9	reset_slice_checked	3146.0	ns/reset	
regions	9	stock_mark	66.23	ms/collection	
regions	10	store_disarmed	0.3322	ns/store	0.4036,0.4047,0.3322,0.3417,0.4058,0.4056,0.3323,0.3409
regions	10	store_armed	0.3323	ns/store	0.4036,0.4043,0.3324,0.3331,0.4051,0.4052,0.3323,0.334
regions	10	store_armed_const	0.1559	ns/store	0.156,0.156,0.1559,0.156,0.156,0.1559,0.1559,0.156
regions	10	store_region	0.3322	ns/store	0.4038,0.4054,0.3338,0.3333,0.3946,0.4051,0.3322,0.3335
regions	10	window_pair	11.64	ns/pair	
regions	10	switch_pair	6.283	ns/pair	
regions	10	construct_two	7.572	ns/object	7.713,7.628,7.572,7.711,7.748,7.755,7.675,7.734
regions	10	construct_shared	3.546	ns/object	3.562,3.586,3.587,3.546,3.568,3.55,3.572,3.575
regions	10	box_twin	3.892	ns/object	3.894,3.892,3.894,4.143,3.913,3.896,3.901,3.931
regions	10	alloc_stock	2.151	ns/object	2.173,2.154,2.158,2.151,2.156,2.162,2.16,2.151
regions	10	finalizer_register	2.218	ns/object	
regions	10	alloc_region	2.017	ns/object	2.017,2.031,2.026,2.018,2.017,2.05,2.026,2.018
regions	10	reset_slice	40.0	ns/reset	
regions	10	reset_slice_checked	3066.0	ns/reset	
regions	10	stock_mark	66.5	ms/collection	
regions_stock	10	store_disarmed	0.3335	ns/store	0.4031,0.4039,0.3337,0.3347,0.4052,0.4049,0.3335,0.3492
regions_stock	10	construct_two	7.568	ns/object	7.568,7.582,7.654,7.617,7.658,7.611,7.648,7.67
regions_stock	10	construct_shared	3.573	ns/object	3.614,3.612,3.598,3.58,3.614,3.573,3.608,3.607
regions_stock	10	box_twin	3.941	ns/object	3.941,4.22,4.152,4.206,4.127,4.176,4.181,4.266
regions_stock	10	alloc_stock	2.141	ns/object	2.159,2.144,2.155,2.15,2.153,2.159,2.153,2.141
regions_stock	10	finalizer_register	2.252	ns/object	
regions_stock	10	stock_mark	66.79	ms/collection	
vanilla	10	store_disarmed	0.3438	ns/store	0.423,0.4226,0.3479,0.3479,0.4211,0.42,0.3438,0.3521
vanilla	10	construct_two	7.191	ns/object	7.238,7.338,7.199,7.217,7.259,7.191,7.336,7.335
vanilla	10	construct_shared	3.42	ns/object	3.42,3.457,3.469,3.439,3.45,3.439,3.462,3.469
vanilla	10	box_twin	3.763	ns/object	3.792,3.776,3.763,3.775,3.769,3.789,3.815,3.794
vanilla	10	alloc_stock	2.017	ns/object	2.076,2.231,2.177,2.031,2.077,2.237,2.192,2.017
vanilla	10	finalizer_register	2.27	ns/object	
vanilla	10	stock_mark	64.82	ms/collection	
