# binary	cost	value	unit
vanilla	store_disarmed	0.3243	ns/store
vanilla	construct_two	7.132	ns/object
vanilla	alloc_stock	2.073	ns/object
vanilla	stock_mark	64.35	ms/collection
regions_stock	store_disarmed	0.4092	ns/store
regions_stock	construct_two	8.187	ns/object
regions_stock	alloc_stock	2.352	ns/object
regions_stock	stock_mark	65.15	ms/collection
regions	store_disarmed	0.417	ns/store
regions	store_armed	1.371	ns/store
regions	store_region	2.019	ns/store
regions	window_pair	10.53	ns/pair
regions	switch_pair	5.138	ns/pair
regions	construct_two	10.66	ns/object
regions	alloc_stock	3.298	ns/object
regions	alloc_region	3.746	ns/object
regions	reset_slice	30.0	ns/reset
regions	stock_mark	65.37	ms/collection
